"exposure";"outcome";"n_significant_loco";"n_positive_significant";"n_negative_significant"
"hs_accesslines300_s_dic0";"hs_asthma";0;0;0
"hs_accesspoints300_s_Log";"hs_asthma";0;0;0
"hs_builtdens300_s_Sqrt";"hs_asthma";0;0;0
"hs_connind300_s_Log";"hs_asthma";0;0;0
"hs_landuseshan300_s_None";"hs_asthma";1;0;1
"h_Absorbance_Log";"hs_asthma";1;1;0
"h_Benzene_Log";"hs_asthma";6;6;0
"h_NO2_Log";"hs_asthma";0;0;0
"h_PM_Log";"hs_asthma";0;0;0
"h_TEX_Log";"hs_asthma";0;0;0
"hs_KIDMED_None";"hs_asthma";6;0;6
"hs_mvpa_prd_alt_None";"hs_asthma";0;0;0
"hs_sd_wk_None";"hs_asthma";0;0;0
"hs_dif_hours_total_None";"hs_asthma";6;0;6
"hs_as_c_Log2";"hs_asthma";1;0;1
"hs_co_c_Log2";"hs_asthma";0;0;0
"hs_cs_c_Log2";"hs_asthma";0;0;0
"hs_cu_c_Log2";"hs_asthma";0;0;0
"hs_hg_c_Log2";"hs_asthma";0;0;0
"hs_mn_c_Log2";"hs_asthma";5;5;0
"hs_mo_c_Log2";"hs_asthma";0;0;0
"hs_pb_c_Log2";"hs_asthma";0;0;0
"hs_hum_mt_hs_h_None";"hs_asthma";0;0;0
"hs_hum_dy_hs_h_None";"hs_asthma";0;0;0
"hs_hum_wk_hs_h_None";"hs_asthma";6;6;0
"hs_tm_dy_hs_h_None";"hs_asthma";0;0;0
"hs_ndvi100_h_None";"hs_asthma";6;0;6
"hs_ndvi100_s_None";"hs_asthma";2;0;2
"hs_dde_cadj_Log2";"hs_asthma";0;0;0
"hs_ddt_cadj_Log2";"hs_asthma";0;0;0
"hs_hcb_cadj_Log2";"hs_asthma";0;0;0
"hs_pcb118_cadj_Log2";"hs_asthma";0;0;0
"hs_pcb153_cadj_Log2";"hs_asthma";0;0;0
"hs_pcb170_cadj_Log2";"hs_asthma";6;6;0
"hs_pcb180_cadj_Log2";"hs_asthma";2;0;2
"hs_sumPCBs5_cadj_Log2";"hs_asthma";0;0;0
"hs_pfhxs_c_Log2";"hs_asthma";0;0;0
"hs_pfoa_c_Log2";"hs_asthma";0;0;0
"hs_pfos_c_Log2";"hs_asthma";0;0;0
"hs_pfunda_c_Log2";"hs_asthma";0;0;0
"hs_hm_pers_None";"hs_asthma";1;0;1
"hs_trafload_h_pow1over3";"hs_asthma";0;0;0
"FAS_cat_None_Low";"hs_asthma";0;0;0
"FAS_cat_None_Middle";"hs_asthma";0;0;0
"hs_globalexp2_None_no exposure";"hs_asthma";0;0;0
"h_abs_ratio_preg_Log";"hs_zbmi_who";0;0;0
"h_no2_ratio_preg_Log";"hs_zbmi_who";0;0;0
"h_pm25_ratio_preg_None";"hs_zbmi_who";0;0;0
"h_accesslines300_preg_dic0";"hs_zbmi_who";0;0;0
"h_accesspoints300_preg_Log";"hs_zbmi_who";1;0;1
"h_builtdens300_preg_Sqrt";"hs_zbmi_who";0;0;0
"h_connind300_preg_Sqrt";"hs_zbmi_who";0;0;0
"h_fdensity300_preg_Log";"hs_zbmi_who";0;0;0
"h_frichness300_preg_None";"hs_zbmi_who";0;0;0
"h_landuseshan300_preg_None";"hs_zbmi_who";1;1;0
"h_popdens_preg_Sqrt";"hs_zbmi_who";3;3;0
"h_walkability_mean_preg_None";"hs_zbmi_who";3;0;3
"hs_as_m_Log2";"hs_zbmi_who";2;2;0
"hs_cd_m_Log2";"hs_zbmi_who";0;0;0
"hs_co_m_Log2";"hs_zbmi_who";1;1;0
"hs_cu_m_Log2";"hs_zbmi_who";2;0;2
"hs_mn_m_Log2";"hs_zbmi_who";0;0;0
"hs_mo_m_Log2";"hs_zbmi_who";0;0;0
"h_humidity_preg_None";"hs_zbmi_who";0;0;0
"h_ndvi100_preg_None";"hs_zbmi_who";0;0;0
"hs_dde_madj_Log2";"hs_zbmi_who";6;6;0
"hs_hcb_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pcb118_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pcb138_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pcb170_madj_Log2";"hs_zbmi_who";2;0;2
"hs_pcb180_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pfhxs_m_Log2";"hs_zbmi_who";4;0;4
"hs_pfna_m_Log2";"hs_zbmi_who";1;1;0
"e3_asmokcigd_p_None";"hs_zbmi_who";0;0;0
"h_trafload_preg_pow1over3";"hs_zbmi_who";5;5;0
"h_trafnear_preg_pow1over3";"hs_zbmi_who";0;0;0
"h_clf_preg_Log";"hs_zbmi_who";0;0;0
"h_thm_preg_Log";"hs_zbmi_who";1;0;1
"e3_alcpreg_yn_None_1";"hs_zbmi_who";0;0;0
"h_pamod_t3_None_Often";"hs_zbmi_who";2;0;2
"h_pamod_t3_None_Sometimes";"hs_zbmi_who";0;0;0
"h_pamod_t3_None_Very Often";"hs_zbmi_who";0;0;0
"h_pavig_t3_None_Low";"hs_zbmi_who";2;0;2
"h_pavig_t3_None_Medium";"hs_zbmi_who";1;0;1
"hs_no2_dy_hs_h_Log";"hs_zbmi_who";2;0;2
"hs_pm10_dy_hs_h_None";"hs_zbmi_who";1;1;0
"hs_pm10_wk_hs_h_None";"hs_zbmi_who";3;0;3
"hs_pm25_dy_hs_h_None";"hs_zbmi_who";1;1;0
"hs_pm25_yr_hs_h_None";"hs_zbmi_who";0;0;0
"hs_pm25abs_dy_hs_h_Log";"hs_zbmi_who";0;0;0
"hs_pm25abs_yr_hs_h_Log";"hs_zbmi_who";0;0;0
"hs_accesslines300_h_dic0";"hs_zbmi_who";0;0;0
"hs_accesspoints300_h_Log";"hs_zbmi_who";0;0;0
"hs_connind300_h_Log";"hs_zbmi_who";0;0;0
"hs_fdensity300_h_Log";"hs_zbmi_who";0;0;0
"hs_landuseshan300_h_None";"hs_zbmi_who";0;0;0
"hs_walkability_mean_h_None";"hs_zbmi_who";0;0;0
"hs_accesslines300_s_dic0";"hs_zbmi_who";0;0;0
"hs_accesspoints300_s_Log";"hs_zbmi_who";6;0;6
"hs_builtdens300_s_Sqrt";"hs_zbmi_who";0;0;0
"hs_connind300_s_Log";"hs_zbmi_who";0;0;0
"hs_landuseshan300_s_None";"hs_zbmi_who";0;0;0
"h_Absorbance_Log";"hs_zbmi_who";0;0;0
"h_Benzene_Log";"hs_zbmi_who";0;0;0
"h_NO2_Log";"hs_zbmi_who";0;0;0
"h_PM_Log";"hs_zbmi_who";4;4;0
"h_TEX_Log";"hs_zbmi_who";0;0;0
"hs_KIDMED_None";"hs_zbmi_who";5;5;0
"hs_mvpa_prd_alt_None";"hs_zbmi_who";0;0;0
"hs_sd_wk_None";"hs_zbmi_who";0;0;0
"hs_dif_hours_total_None";"hs_zbmi_who";0;0;0
"hs_as_c_Log2";"hs_zbmi_who";0;0;0
"hs_co_c_Log2";"hs_zbmi_who";0;0;0
"hs_cs_c_Log2";"hs_zbmi_who";6;6;0
"hs_cu_c_Log2";"hs_zbmi_who";6;6;0
"hs_hg_c_Log2";"hs_zbmi_who";0;0;0
"hs_mn_c_Log2";"hs_zbmi_who";0;0;0
"hs_mo_c_Log2";"hs_zbmi_who";1;0;1
"hs_pb_c_Log2";"hs_zbmi_who";0;0;0
"hs_hum_mt_hs_h_None";"hs_zbmi_who";6;6;0
"hs_hum_dy_hs_h_None";"hs_zbmi_who";0;0;0
"hs_hum_wk_hs_h_None";"hs_zbmi_who";0;0;0
"hs_tm_dy_hs_h_None";"hs_zbmi_who";0;0;0
"hs_ndvi100_h_None";"hs_zbmi_who";0;0;0
"hs_ndvi100_s_None";"hs_zbmi_who";0;0;0
"hs_dde_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_ddt_cadj_Log2";"hs_zbmi_who";0;0;0
"hs_hcb_cadj_Log2";"hs_zbmi_who";1;0;1
"hs_pcb118_cadj_Log2";"hs_zbmi_who";1;1;0
"hs_pcb153_cadj_Log2";"hs_zbmi_who";1;0;1
"hs_pcb170_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb180_cadj_Log2";"hs_zbmi_who";0;0;0
"hs_sumPCBs5_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pfhxs_c_Log2";"hs_zbmi_who";0;0;0
"hs_pfoa_c_Log2";"hs_zbmi_who";0;0;0
"hs_pfos_c_Log2";"hs_zbmi_who";0;0;0
"hs_pfunda_c_Log2";"hs_zbmi_who";0;0;0
"hs_hm_pers_None";"hs_zbmi_who";0;0;0
"hs_trafload_h_pow1over3";"hs_zbmi_who";0;0;0
"FAS_cat_None_Low";"hs_zbmi_who";4;0;4
"FAS_cat_None_Middle";"hs_zbmi_who";1;0;1
"hs_globalexp2_None_no exposure";"hs_zbmi_who";0;0;0
"h_abs_ratio_preg_Log";"hs_correct_raven";0;0;0
"h_no2_ratio_preg_Log";"hs_correct_raven";4;4;0
"h_pm25_ratio_preg_None";"hs_correct_raven";0;0;0
"h_accesslines300_preg_dic0";"hs_correct_raven";0;0;0
"h_accesspoints300_preg_Log";"hs_correct_raven";0;0;0
"h_builtdens300_preg_Sqrt";"hs_correct_raven";0;0;0
"h_connind300_preg_Sqrt";"hs_correct_raven";0;0;0
"h_fdensity300_preg_Log";"hs_correct_raven";0;0;0
"h_frichness300_preg_None";"hs_correct_raven";0;0;0
"h_landuseshan300_preg_None";"hs_correct_raven";1;1;0
"h_popdens_preg_Sqrt";"hs_correct_raven";0;0;0
"h_walkability_mean_preg_None";"hs_correct_raven";0;0;0
"hs_as_m_Log2";"hs_correct_raven";0;0;0
"hs_cd_m_Log2";"hs_correct_raven";1;0;1
"hs_co_m_Log2";"hs_correct_raven";0;0;0
"hs_cu_m_Log2";"hs_correct_raven";0;0;0
"hs_mn_m_Log2";"hs_correct_raven";0;0;0
"hs_mo_m_Log2";"hs_correct_raven";0;0;0
"h_humidity_preg_None";"hs_correct_raven";6;0;6
"h_ndvi100_preg_None";"hs_correct_raven";0;0;0
"hs_dde_madj_Log2";"hs_correct_raven";3;0;3
"hs_hcb_madj_Log2";"hs_correct_raven";0;0;0
"hs_pcb118_madj_Log2";"hs_correct_raven";0;0;0
"hs_pcb138_madj_Log2";"hs_correct_raven";0;0;0
"hs_pcb170_madj_Log2";"hs_correct_raven";0;0;0
"hs_pcb180_madj_Log2";"hs_correct_raven";2;2;0
"hs_pfhxs_m_Log2";"hs_correct_raven";1;1;0
"hs_pfna_m_Log2";"hs_correct_raven";0;0;0
"e3_asmokcigd_p_None";"hs_correct_raven";0;0;0
"h_trafload_preg_pow1over3";"hs_correct_raven";0;0;0
"h_trafnear_preg_pow1over3";"hs_correct_raven";0;0;0
"h_clf_preg_Log";"hs_correct_raven";2;0;2
"h_thm_preg_Log";"hs_correct_raven";0;0;0
"e3_alcpreg_yn_None_1";"hs_correct_raven";0;0;0
"h_pamod_t3_None_Often";"hs_correct_raven";0;0;0
"h_pamod_t3_None_Sometimes";"hs_correct_raven";0;0;0
"h_pamod_t3_None_Very Often";"hs_correct_raven";0;0;0
"h_pavig_t3_None_Low";"hs_correct_raven";5;0;5
"h_pavig_t3_None_Medium";"hs_correct_raven";5;0;5
"hs_no2_dy_hs_h_Log";"hs_correct_raven";0;0;0
"hs_pm10_dy_hs_h_None";"hs_correct_raven";0;0;0
"hs_pm10_wk_hs_h_None";"hs_correct_raven";0;0;0
"hs_pm25_dy_hs_h_None";"hs_correct_raven";0;0;0
"hs_pm25_yr_hs_h_None";"hs_correct_raven";3;0;3
"hs_pm25abs_dy_hs_h_Log";"hs_correct_raven";3;3;0
"hs_pm25abs_yr_hs_h_Log";"hs_correct_raven";0;0;0
"hs_accesslines300_h_dic0";"hs_correct_raven";0;0;0
"hs_accesspoints300_h_Log";"hs_correct_raven";3;0;3
"hs_connind300_h_Log";"hs_correct_raven";0;0;0
"hs_fdensity300_h_Log";"hs_correct_raven";0;0;0
"hs_landuseshan300_h_None";"hs_correct_raven";0;0;0
"hs_walkability_mean_h_None";"hs_correct_raven";0;0;0
"hs_accesslines300_s_dic0";"hs_correct_raven";0;0;0
"hs_accesspoints300_s_Log";"hs_correct_raven";0;0;0
"hs_builtdens300_s_Sqrt";"hs_correct_raven";0;0;0
"hs_connind300_s_Log";"hs_correct_raven";0;0;0
"hs_landuseshan300_s_None";"hs_correct_raven";0;0;0
"h_Absorbance_Log";"hs_correct_raven";0;0;0
"h_Benzene_Log";"hs_correct_raven";1;0;1
"h_NO2_Log";"hs_correct_raven";4;4;0
"h_PM_Log";"hs_correct_raven";2;0;2
"h_TEX_Log";"hs_correct_raven";0;0;0
"hs_KIDMED_None";"hs_correct_raven";0;0;0
"hs_mvpa_prd_alt_None";"hs_correct_raven";4;0;4
"hs_sd_wk_None";"hs_correct_raven";0;0;0
"hs_dif_hours_total_None";"hs_correct_raven";5;0;5
"hs_as_c_Log2";"hs_correct_raven";6;6;0
"hs_co_c_Log2";"hs_correct_raven";0;0;0
"hs_cs_c_Log2";"hs_correct_raven";0;0;0
"hs_cu_c_Log2";"hs_correct_raven";0;0;0
"hs_hg_c_Log2";"hs_correct_raven";6;0;6
"hs_mn_c_Log2";"hs_correct_raven";0;0;0
"hs_mo_c_Log2";"hs_correct_raven";3;0;3
"hs_pb_c_Log2";"hs_correct_raven";0;0;0
"hs_hum_mt_hs_h_None";"hs_correct_raven";2;2;0
"hs_hum_dy_hs_h_None";"hs_correct_raven";0;0;0
"hs_hum_wk_hs_h_None";"hs_correct_raven";0;0;0
"hs_tm_dy_hs_h_None";"hs_correct_raven";0;0;0
"hs_ndvi100_h_None";"hs_correct_raven";0;0;0
"hs_ndvi100_s_None";"hs_correct_raven";1;0;1
"hs_dde_cadj_Log2";"hs_correct_raven";0;0;0
"hs_ddt_cadj_Log2";"hs_correct_raven";0;0;0
"hs_hcb_cadj_Log2";"hs_correct_raven";0;0;0
"hs_pcb118_cadj_Log2";"hs_correct_raven";0;0;0
"hs_pcb153_cadj_Log2";"hs_correct_raven";0;0;0
"hs_pcb170_cadj_Log2";"hs_correct_raven";0;0;0
"hs_pcb180_cadj_Log2";"hs_correct_raven";0;0;0
"hs_sumPCBs5_cadj_Log2";"hs_correct_raven";0;0;0
"hs_pfhxs_c_Log2";"hs_correct_raven";2;2;0
"hs_pfoa_c_Log2";"hs_correct_raven";0;0;0
"hs_pfos_c_Log2";"hs_correct_raven";0;0;0
"hs_pfunda_c_Log2";"hs_correct_raven";0;0;0
"hs_hm_pers_None";"hs_correct_raven";1;0;1
"hs_trafload_h_pow1over3";"hs_correct_raven";0;0;0
"FAS_cat_None_Low";"hs_correct_raven";4;0;4
"FAS_cat_None_Middle";"hs_correct_raven";0;0;0
"hs_globalexp2_None_no exposure";"hs_correct_raven";0;0;0
"h_abs_ratio_preg_Log";"hs_Gen_Tot";4;0;4
"h_no2_ratio_preg_Log";"hs_Gen_Tot";1;1;0
"h_pm25_ratio_preg_None";"hs_Gen_Tot";2;0;2
"h_accesslines300_preg_dic0";"hs_Gen_Tot";0;0;0
"h_accesspoints300_preg_Log";"hs_Gen_Tot";0;0;0
"h_builtdens300_preg_Sqrt";"hs_Gen_Tot";0;0;0
"h_connind300_preg_Sqrt";"hs_Gen_Tot";3;0;3
"h_fdensity300_preg_Log";"hs_Gen_Tot";0;0;0
"h_frichness300_preg_None";"hs_Gen_Tot";0;0;0
"h_landuseshan300_preg_None";"hs_Gen_Tot";0;0;0
"h_popdens_preg_Sqrt";"hs_Gen_Tot";0;0;0
"h_walkability_mean_preg_None";"hs_Gen_Tot";0;0;0
"hs_as_m_Log2";"hs_Gen_Tot";0;0;0
"hs_cd_m_Log2";"hs_Gen_Tot";0;0;0
"hs_co_m_Log2";"hs_Gen_Tot";0;0;0
"hs_cu_m_Log2";"hs_Gen_Tot";5;0;5
"hs_mn_m_Log2";"hs_Gen_Tot";4;0;4
"hs_mo_m_Log2";"hs_Gen_Tot";2;0;2
"h_humidity_preg_None";"hs_Gen_Tot";0;0;0
"h_ndvi100_preg_None";"hs_Gen_Tot";0;0;0
"hs_dde_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_hcb_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_pcb118_madj_Log2";"hs_Gen_Tot";1;1;0
"hs_pcb138_madj_Log2";"hs_Gen_Tot";1;0;1
"hs_pcb170_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_pcb180_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_pfhxs_m_Log2";"hs_Gen_Tot";0;0;0
"hs_pfna_m_Log2";"hs_Gen_Tot";0;0;0
"e3_asmokcigd_p_None";"hs_Gen_Tot";0;0;0
"h_trafload_preg_pow1over3";"hs_Gen_Tot";0;0;0
"h_trafnear_preg_pow1over3";"hs_Gen_Tot";0;0;0
"h_clf_preg_Log";"hs_Gen_Tot";0;0;0
"h_thm_preg_Log";"hs_Gen_Tot";0;0;0
"e3_alcpreg_yn_None_1";"hs_Gen_Tot";0;0;0
"h_pamod_t3_None_Often";"hs_Gen_Tot";4;0;4
"h_pamod_t3_None_Sometimes";"hs_Gen_Tot";4;0;4
"h_pamod_t3_None_Very Often";"hs_Gen_Tot";3;0;3
"h_pavig_t3_None_Low";"hs_Gen_Tot";0;0;0
"h_pavig_t3_None_Medium";"hs_Gen_Tot";0;0;0
"hs_no2_dy_hs_h_Log";"hs_Gen_Tot";0;0;0
"hs_pm10_dy_hs_h_None";"hs_Gen_Tot";1;0;1
"hs_pm10_wk_hs_h_None";"hs_Gen_Tot";4;0;4
"hs_pm25_dy_hs_h_None";"hs_Gen_Tot";5;5;0
"hs_pm25_yr_hs_h_None";"hs_Gen_Tot";4;0;4
"hs_pm25abs_dy_hs_h_Log";"hs_Gen_Tot";0;0;0
"hs_pm25abs_yr_hs_h_Log";"hs_Gen_Tot";0;0;0
"hs_accesslines300_h_dic0";"hs_Gen_Tot";0;0;0
"hs_accesspoints300_h_Log";"hs_Gen_Tot";0;0;0
"hs_connind300_h_Log";"hs_Gen_Tot";0;0;0
"hs_fdensity300_h_Log";"hs_Gen_Tot";0;0;0
"hs_landuseshan300_h_None";"hs_Gen_Tot";0;0;0
"hs_walkability_mean_h_None";"hs_Gen_Tot";0;0;0
"hs_accesslines300_s_dic0";"hs_Gen_Tot";3;3;0
"hs_accesspoints300_s_Log";"hs_Gen_Tot";0;0;0
"hs_builtdens300_s_Sqrt";"hs_Gen_Tot";0;0;0
"hs_connind300_s_Log";"hs_Gen_Tot";0;0;0
"hs_landuseshan300_s_None";"hs_Gen_Tot";0;0;0
"h_Absorbance_Log";"hs_Gen_Tot";0;0;0
"h_Benzene_Log";"hs_Gen_Tot";6;6;0
"h_NO2_Log";"hs_Gen_Tot";0;0;0
"h_PM_Log";"hs_Gen_Tot";1;1;0
"h_TEX_Log";"hs_Gen_Tot";0;0;0
"hs_KIDMED_None";"hs_Gen_Tot";0;0;0
"hs_mvpa_prd_alt_None";"hs_Gen_Tot";4;0;4
"hs_sd_wk_None";"hs_Gen_Tot";4;4;0
"hs_dif_hours_total_None";"hs_Gen_Tot";5;0;5
"hs_as_c_Log2";"hs_Gen_Tot";0;0;0
"hs_co_c_Log2";"hs_Gen_Tot";0;0;0
"hs_cs_c_Log2";"hs_Gen_Tot";0;0;0
