"exposure";"outcome";"n_selected_loco";"n_positive_selected";"n_negative_selected"
"hs_pfhxs_m_Log2";"e3_bw";6;6;0
"hs_pfna_m_Log2";"e3_bw";6;0;6
"hs_pfoa_m_Log2";"e3_bw";6;2;4
"hs_pfos_m_Log2";"e3_bw";6;1;5
"hs_pfunda_m_Log2";"e3_bw";6;2;4
"e3_asmokcigd_p_None";"e3_bw";6;0;6
"h_distinvnear1_preg_Log";"e3_bw";6;3;3
"h_trafload_preg_pow1over3";"e3_bw";6;0;6
"h_trafnear_preg_pow1over3";"e3_bw";6;0;6
"h_bro_preg_Log";"e3_bw";6;6;0
"h_clf_preg_Log";"e3_bw";6;4;2
"h_thm_preg_Log";"e3_bw";6;5;1
"e3_alcpreg_yn_None_1";"e3_bw";6;6;0
"h_pamod_t3_None_Often";"e3_bw";6;6;0
"h_pamod_t3_None_Sometimes";"e3_bw";6;6;0
"h_pamod_t3_None_Very Often";"e3_bw";6;6;0
"h_pavig_t3_None_Low";"e3_bw";6;6;0
"h_pavig_t3_None_Medium";"e3_bw";6;6;0
"hs_no2_dy_hs_h_Log";"e3_bw";6;5;1
"hs_no2_wk_hs_h_Log";"e3_bw";6;5;1
"hs_no2_yr_hs_h_Log";"e3_bw";6;5;1
"hs_pm10_dy_hs_h_None";"e3_bw";6;2;4
"hs_pm10_wk_hs_h_None";"e3_bw";6;1;5
"hs_pm10_yr_hs_h_None";"e3_bw";6;4;2
"hs_pm25_dy_hs_h_None";"e3_bw";6;5;1
"hs_pm25_wk_hs_h_None";"e3_bw";6;1;5
"hs_pm25_yr_hs_h_None";"e3_bw";6;5;1
"hs_pm25abs_dy_hs_h_Log";"e3_bw";6;5;1
"hs_pm25abs_wk_hs_h_Log";"e3_bw";6;0;6
"hs_pm25abs_yr_hs_h_Log";"e3_bw";6;2;4
"hs_accesslines300_h_dic0";"e3_bw";6;2;4
"hs_accesspoints300_h_Log";"e3_bw";6;1;5
"hs_builtdens300_h_Sqrt";"e3_bw";6;3;3
"hs_connind300_h_Log";"e3_bw";6;5;1
"hs_fdensity300_h_Log";"e3_bw";6;6;0
"hs_landuseshan300_h_None";"e3_bw";6;5;1
"hs_popdens_h_Sqrt";"e3_bw";6;0;6
"hs_walkability_mean_h_None";"e3_bw";6;1;5
"hs_accesslines300_s_dic0";"e3_bw";6;5;1
"hs_accesspoints300_s_Log";"e3_bw";6;5;1
"hs_builtdens300_s_Sqrt";"e3_bw";6;0;6
"hs_connind300_s_Log";"e3_bw";6;3;3
"hs_fdensity300_s_Log";"e3_bw";6;6;0
"hs_landuseshan300_s_None";"e3_bw";6;4;2
"hs_popdens_s_Sqrt";"e3_bw";6;4;2
"h_Absorbance_Log";"e3_bw";6;6;0
"h_Benzene_Log";"e3_bw";6;2;4
"h_NO2_Log";"e3_bw";6;6;0
"h_PM_Log";"e3_bw";6;5;1
"h_TEX_Log";"e3_bw";6;3;3
"hs_KIDMED_None";"e3_bw";6;5;1
"hs_mvpa_prd_alt_None";"e3_bw";6;2;4
"hs_sd_wk_None";"e3_bw";6;1;5
"hs_dif_hours_total_None";"e3_bw";6;0;6
"hs_as_c_Log2";"e3_bw";6;6;0
"hs_cd_c_Log2";"e3_bw";6;2;4
"hs_co_c_Log2";"e3_bw";6;2;4
"hs_cs_c_Log2";"e3_bw";6;1;5
"hs_cu_c_Log2";"e3_bw";6;1;5
"hs_hg_c_Log2";"e3_bw";6;0;6
"hs_mn_c_Log2";"e3_bw";6;1;5
"hs_mo_c_Log2";"e3_bw";6;0;6
"hs_pb_c_Log2";"e3_bw";6;5;1
"hs_hum_mt_hs_h_None";"e3_bw";6;1;5
"hs_tm_mt_hs_h_None";"e3_bw";6;5;1
"hs_uvdvf_mt_hs_h_None";"e3_bw";6;1;5
"hs_hum_dy_hs_h_None";"e3_bw";6;0;6
"hs_hum_wk_hs_h_None";"e3_bw";6;0;6
"hs_tm_dy_hs_h_None";"e3_bw";6;3;3
"hs_tm_wk_hs_h_None";"e3_bw";6;4;2
"hs_uvdvf_dy_hs_h_None";"e3_bw";6;3;3
"hs_uvdvf_wk_hs_h_None";"e3_bw";6;0;6
"hs_ndvi100_h_None";"e3_bw";6;5;1
"hs_ndvi100_s_None";"e3_bw";6;5;1
"hs_dde_cadj_Log2";"e3_bw";6;0;6
"hs_ddt_cadj_Log2";"e3_bw";6;0;6
"hs_hcb_cadj_Log2";"e3_bw";6;0;6
"hs_pcb118_cadj_Log2";"e3_bw";6;4;2
"hs_pcb138_cadj_Log2";"e3_bw";6;2;4
"hs_pcb153_cadj_Log2";"e3_bw";6;4;2
"hs_pcb170_cadj_Log2";"e3_bw";6;0;6
"hs_pcb180_cadj_Log2";"e3_bw";6;2;4
"hs_sumPCBs5_cadj_Log2";"e3_bw";6;0;6
"hs_pfhxs_c_Log2";"e3_bw";6;6;0
"hs_pfna_c_Log2";"e3_bw";6;0;6
"hs_pfoa_c_Log2";"e3_bw";6;5;1
"hs_pfos_c_Log2";"e3_bw";6;2;4
"hs_pfunda_c_Log2";"e3_bw";6;6;0
"hs_hm_pers_None";"e3_bw";6;0;6
"hs_trafload_h_pow1over3";"e3_bw";6;2;4
"hs_trafnear_h_pow1over3";"e3_bw";6;0;6
"FAS_cat_None_Low";"e3_bw";6;5;1
"FAS_cat_None_Middle";"e3_bw";6;6;0
"hs_globalexp2_None_no exposure";"e3_bw";6;6;0
"h_abs_ratio_preg_Log";"hs_asthma";6;0;6
"h_no2_ratio_preg_Log";"hs_asthma";6;1;5
"h_pm10_ratio_preg_None";"hs_asthma";6;5;1
"h_pm25_ratio_preg_None";"hs_asthma";6;0;6
"h_accesslines300_preg_dic0";"hs_asthma";6;0;6
"h_accesspoints300_preg_Log";"hs_asthma";6;6;0
"h_builtdens300_preg_Sqrt";"hs_asthma";6;4;2
"h_connind300_preg_Sqrt";"hs_asthma";6;6;0
"h_fdensity300_preg_Log";"hs_asthma";6;1;5
"h_frichness300_preg_None";"hs_asthma";6;5;1
"h_landuseshan300_preg_None";"hs_asthma";6;0;6
"h_popdens_preg_Sqrt";"hs_asthma";6;0;6
"h_walkability_mean_preg_None";"hs_asthma";6;6;0
"hs_as_m_Log2";"hs_asthma";6;6;0
"hs_cd_m_Log2";"hs_asthma";6;0;6
"hs_co_m_Log2";"hs_asthma";6;6;0
"hs_cs_m_Log2";"hs_asthma";6;1;5
"hs_cu_m_Log2";"hs_asthma";6;2;4
"hs_hg_m_Log2";"hs_asthma";6;0;6
"hs_mn_m_Log2";"hs_asthma";6;4;2
"hs_mo_m_Log2";"hs_asthma";6;6;0
"hs_pb_m_Log2";"hs_asthma";6;4;2
"h_humidity_preg_None";"hs_asthma";6;0;6
"h_pressure_preg_None";"hs_asthma";6;5;1
"h_temperature_preg_None";"hs_asthma";6;5;1
"h_ndvi100_preg_None";"hs_asthma";6;6;0
"hs_dde_madj_Log2";"hs_asthma";6;0;6
"hs_ddt_madj_Log2";"hs_asthma";6;0;6
"hs_hcb_madj_Log2";"hs_asthma";6;6;0
"hs_pcb118_madj_Log2";"hs_asthma";6;6;0
"hs_pcb138_madj_Log2";"hs_asthma";6;6;0
"hs_pcb153_madj_Log2";"hs_asthma";6;6;0
"hs_pcb170_madj_Log2";"hs_asthma";6;0;6
"hs_pcb180_madj_Log2";"hs_asthma";6;3;3
"hs_sumPCBs5_madj_Log2";"hs_asthma";6;1;5
"hs_pfhxs_m_Log2";"hs_asthma";6;5;1
"hs_pfna_m_Log2";"hs_asthma";6;6;0
"hs_pfoa_m_Log2";"hs_asthma";6;4;2
"hs_pfos_m_Log2";"hs_asthma";6;1;5
"hs_pfunda_m_Log2";"hs_asthma";6;1;5
"e3_asmokcigd_p_None";"hs_asthma";6;6;0
"h_distinvnear1_preg_Log";"hs_asthma";6;5;1
"h_trafload_preg_pow1over3";"hs_asthma";6;0;6
"h_trafnear_preg_pow1over3";"hs_asthma";6;0;6
"h_bro_preg_Log";"hs_asthma";6;6;0
"h_clf_preg_Log";"hs_asthma";6;0;6
"h_thm_preg_Log";"hs_asthma";6;6;0
"e3_alcpreg_yn_None_1";"hs_asthma";6;0;6
"h_pamod_t3_None_Often";"hs_asthma";6;0;6
"h_pamod_t3_None_Sometimes";"hs_asthma";6;2;4
"h_pamod_t3_None_Very Often";"hs_asthma";6;0;6
"h_pavig_t3_None_Low";"hs_asthma";6;0;6
"h_pavig_t3_None_Medium";"hs_asthma";6;0;6
"hs_no2_dy_hs_h_Log";"hs_asthma";6;1;5
"hs_no2_wk_hs_h_Log";"hs_asthma";6;5;1
"hs_no2_yr_hs_h_Log";"hs_asthma";6;1;5
"hs_pm10_dy_hs_h_None";"hs_asthma";6;2;4
"hs_pm10_wk_hs_h_None";"hs_asthma";6;3;3
"hs_pm10_yr_hs_h_None";"hs_asthma";6;2;4
"hs_pm25_dy_hs_h_None";"hs_asthma";6;0;6
"hs_pm25_wk_hs_h_None";"hs_asthma";6;3;3
"hs_pm25_yr_hs_h_None";"hs_asthma";6;1;5
"hs_pm25abs_dy_hs_h_Log";"hs_asthma";6;6;0
"hs_pm25abs_wk_hs_h_Log";"hs_asthma";6;0;6
"hs_pm25abs_yr_hs_h_Log";"hs_asthma";6;0;6
"hs_accesslines300_h_dic0";"hs_asthma";6;5;1
"hs_accesspoints300_h_Log";"hs_asthma";6;0;6
"hs_builtdens300_h_Sqrt";"hs_asthma";6;2;4
"hs_connind300_h_Log";"hs_asthma";6;3;3
"hs_fdensity300_h_Log";"hs_asthma";6;6;0
"hs_landuseshan300_h_None";"hs_asthma";6;6;0
"hs_popdens_h_Sqrt";"hs_asthma";6;6;0
"hs_walkability_mean_h_None";"hs_asthma";6;6;0
"hs_accesslines300_s_dic0";"hs_asthma";6;0;6
"hs_accesspoints300_s_Log";"hs_asthma";6;2;4
"hs_builtdens300_s_Sqrt";"hs_asthma";6;1;5
"hs_connind300_s_Log";"hs_asthma";6;4;2
"hs_fdensity300_s_Log";"hs_asthma";6;0;6
"hs_landuseshan300_s_None";"hs_asthma";6;0;6
"hs_popdens_s_Sqrt";"hs_asthma";6;6;0
"h_Absorbance_Log";"hs_asthma";6;6;0
"h_Benzene_Log";"hs_asthma";6;6;0
"h_NO2_Log";"hs_asthma";6;0;6
"h_PM_Log";"hs_asthma";6;4;2
"h_TEX_Log";"hs_asthma";6;0;6
"hs_KIDMED_None";"hs_asthma";6;0;6
"hs_mvpa_prd_alt_None";"hs_asthma";6;3;3
"hs_sd_wk_None";"hs_asthma";6;0;6
"hs_dif_hours_total_None";"hs_asthma";6;0;6
"hs_as_c_Log2";"hs_asthma";6;0;6
"hs_cd_c_Log2";"hs_asthma";6;6;0
"hs_co_c_Log2";"hs_asthma";6;0;6
"hs_cs_c_Log2";"hs_asthma";6;0;6
"hs_cu_c_Log2";"hs_asthma";6;0;6
"hs_hg_c_Log2";"hs_asthma";6;6;0
"hs_mn_c_Log2";"hs_asthma";6;6;0
"hs_mo_c_Log2";"hs_asthma";6;5;1
"hs_pb_c_Log2";"hs_asthma";6;1;5
"hs_hum_mt_hs_h_None";"hs_asthma";6;1;5
"hs_tm_mt_hs_h_None";"hs_asthma";6;1;5
"hs_uvdvf_mt_hs_h_None";"hs_asthma";6;5;1
"hs_hum_dy_hs_h_None";"hs_asthma";6;6;0
"hs_hum_wk_hs_h_None";"hs_asthma";6;6;0
"hs_tm_dy_hs_h_None";"hs_asthma";6;6;0
"hs_tm_wk_hs_h_None";"hs_asthma";6;6;0
"hs_uvdvf_dy_hs_h_None";"hs_asthma";6;0;6
"hs_uvdvf_wk_hs_h_None";"hs_asthma";6;5;1
"hs_ndvi100_h_None";"hs_asthma";6;0;6
"hs_ndvi100_s_None";"hs_asthma";6;0;6
"hs_dde_cadj_Log2";"hs_asthma";6;6;0
"hs_ddt_cadj_Log2";"hs_asthma";6;4;2
"hs_hcb_cadj_Log2";"hs_asthma";6;5;1
"hs_pcb118_cadj_Log2";"hs_asthma";6;4;2
"hs_pcb138_cadj_Log2";"hs_asthma";6;5;1
"hs_pcb153_cadj_Log2";"hs_asthma";6;0;6
"hs_pcb170_cadj_Log2";"hs_asthma";6;6;0
"hs_pcb180_cadj_Log2";"hs_asthma";6;0;6
"hs_sumPCBs5_cadj_Log2";"hs_asthma";6;3;3
"hs_pfhxs_c_Log2";"hs_asthma";6;1;5
"hs_pfna_c_Log2";"hs_asthma";6;6;0
"hs_pfoa_c_Log2";"hs_asthma";6;0;6
"hs_pfos_c_Log2";"hs_asthma";6;3;3
"hs_pfunda_c_Log2";"hs_asthma";6;6;0
"hs_hm_pers_None";"hs_asthma";6;1;5
"hs_trafload_h_pow1over3";"hs_asthma";6;5;1
"hs_trafnear_h_pow1over3";"hs_asthma";6;3;3
"FAS_cat_None_Low";"hs_asthma";6;4;2
"FAS_cat_None_Middle";"hs_asthma";6;0;6
"hs_globalexp2_None_no exposure";"hs_asthma";6;4;2
"h_abs_ratio_preg_Log";"hs_zbmi_who";6;0;6
"h_no2_ratio_preg_Log";"hs_zbmi_who";6;2;4
"h_pm10_ratio_preg_None";"hs_zbmi_who";6;0;6
"h_pm25_ratio_preg_None";"hs_zbmi_who";6;2;4
"h_accesslines300_preg_dic0";"hs_zbmi_who";6;6;0
"h_accesspoints300_preg_Log";"hs_zbmi_who";6;3;3
"h_builtdens300_preg_Sqrt";"hs_zbmi_who";6;1;5
"h_connind300_preg_Sqrt";"hs_zbmi_who";6;0;6
"h_fdensity300_preg_Log";"hs_zbmi_who";6;2;4
"h_frichness300_preg_None";"hs_zbmi_who";6;5;1
"h_landuseshan300_preg_None";"hs_zbmi_who";6;6;0
"h_popdens_preg_Sqrt";"hs_zbmi_who";6;6;0
"h_walkability_mean_preg_None";"hs_zbmi_who";6;0;6
"hs_as_m_Log2";"hs_zbmi_who";6;6;0
"hs_cd_m_Log2";"hs_zbmi_who";6;6;0
"hs_co_m_Log2";"hs_zbmi_who";6;6;0
"hs_cs_m_Log2";"hs_zbmi_who";6;1;5
"hs_cu_m_Log2";"hs_zbmi_who";6;0;6
"hs_hg_m_Log2";"hs_zbmi_who";6;2;4
"hs_mn_m_Log2";"hs_zbmi_who";6;1;5
"hs_mo_m_Log2";"hs_zbmi_who";6;1;5
"hs_pb_m_Log2";"hs_zbmi_who";6;4;2
"h_humidity_preg_None";"hs_zbmi_who";6;6;0
"h_pressure_preg_None";"hs_zbmi_who";6;0;6
"h_temperature_preg_None";"hs_zbmi_who";6;6;0
"h_ndvi100_preg_None";"hs_zbmi_who";6;3;3
"hs_dde_madj_Log2";"hs_zbmi_who";6;6;0
"hs_ddt_madj_Log2";"hs_zbmi_who";6;2;4
"hs_hcb_madj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb118_madj_Log2";"hs_zbmi_who";6;4;2
"hs_pcb138_madj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb153_madj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb170_madj_Log2";"hs_zbmi_who";6;1;5
"hs_pcb180_madj_Log2";"hs_zbmi_who";6;5;1
"hs_sumPCBs5_madj_Log2";"hs_zbmi_who";6;2;4
"hs_pfhxs_m_Log2";"hs_zbmi_who";6;3;3
"hs_pfna_m_Log2";"hs_zbmi_who";6;3;3
"hs_pfoa_m_Log2";"hs_zbmi_who";6;0;6
"hs_pfos_m_Log2";"hs_zbmi_who";6;1;5
"hs_pfunda_m_Log2";"hs_zbmi_who";6;1;5
"e3_asmokcigd_p_None";"hs_zbmi_who";6;0;6
"h_distinvnear1_preg_Log";"hs_zbmi_who";6;3;3
"h_trafload_preg_pow1over3";"hs_zbmi_who";6;6;0
"h_trafnear_preg_pow1over3";"hs_zbmi_who";6;1;5
"h_bro_preg_Log";"hs_zbmi_who";6;5;1
"h_clf_preg_Log";"hs_zbmi_who";6;5;1
"h_thm_preg_Log";"hs_zbmi_who";6;0;6
"e3_alcpreg_yn_None_1";"hs_zbmi_who";6;5;1
"h_pamod_t3_None_Often";"hs_zbmi_who";6;6;0
"h_pamod_t3_None_Sometimes";"hs_zbmi_who";6;6;0
"h_pamod_t3_None_Very Often";"hs_zbmi_who";6;6;0
"h_pavig_t3_None_Low";"hs_zbmi_who";6;6;0
"h_pavig_t3_None_Medium";"hs_zbmi_who";6;6;0
"hs_no2_dy_hs_h_Log";"hs_zbmi_who";6;3;3
"hs_no2_wk_hs_h_Log";"hs_zbmi_who";6;5;1
"hs_no2_yr_hs_h_Log";"hs_zbmi_who";6;5;1
"hs_pm10_dy_hs_h_None";"hs_zbmi_who";6;6;0
"hs_pm10_wk_hs_h_None";"hs_zbmi_who";6;0;6
"hs_pm10_yr_hs_h_None";"hs_zbmi_who";6;3;3
"hs_pm25_dy_hs_h_None";"hs_zbmi_who";6;6;0
"hs_pm25_wk_hs_h_None";"hs_zbmi_who";6;1;5
"hs_pm25_yr_hs_h_None";"hs_zbmi_who";6;5;1
"hs_pm25abs_dy_hs_h_Log";"hs_zbmi_who";6;1;5
"hs_pm25abs_wk_hs_h_Log";"hs_zbmi_who";6;0;6
"hs_pm25abs_yr_hs_h_Log";"hs_zbmi_who";6;3;3
"hs_accesslines300_h_dic0";"hs_zbmi_who";6;2;4
"hs_accesspoints300_h_Log";"hs_zbmi_who";6;2;4
"hs_builtdens300_h_Sqrt";"hs_zbmi_who";6;1;5
"hs_connind300_h_Log";"hs_zbmi_who";6;6;0
"hs_fdensity300_h_Log";"hs_zbmi_who";6;3;3
"hs_landuseshan300_h_None";"hs_zbmi_who";6;1;5
"hs_popdens_h_Sqrt";"hs_zbmi_who";6;3;3
"hs_walkability_mean_h_None";"hs_zbmi_who";6;1;5
"hs_accesslines300_s_dic0";"hs_zbmi_who";6;5;1
"hs_accesspoints300_s_Log";"hs_zbmi_who";6;0;6
"hs_builtdens300_s_Sqrt";"hs_zbmi_who";6;0;6
"hs_connind300_s_Log";"hs_zbmi_who";6;2;4
"hs_fdensity300_s_Log";"hs_zbmi_who";6;4;2
"hs_landuseshan300_s_None";"hs_zbmi_who";6;1;5
"hs_popdens_s_Sqrt";"hs_zbmi_who";6;0;6
"h_Absorbance_Log";"hs_zbmi_who";6;2;4
"h_Benzene_Log";"hs_zbmi_who";6;4;2
"h_NO2_Log";"hs_zbmi_who";6;6;0
"h_PM_Log";"hs_zbmi_who";6;6;0
"h_TEX_Log";"hs_zbmi_who";6;5;1
"hs_KIDMED_None";"hs_zbmi_who";6;6;0
"hs_mvpa_prd_alt_None";"hs_zbmi_who";6;0;6
"hs_sd_wk_None";"hs_zbmi_who";6;4;2
"hs_dif_hours_total_None";"hs_zbmi_who";6;0;6
"hs_as_c_Log2";"hs_zbmi_who";6;5;1
"hs_cd_c_Log2";"hs_zbmi_who";6;5;1
"hs_co_c_Log2";"hs_zbmi_who";6;0;6
"hs_cs_c_Log2";"hs_zbmi_who";6;6;0
"hs_cu_c_Log2";"hs_zbmi_who";6;6;0
"hs_hg_c_Log2";"hs_zbmi_who";6;0;6
"hs_mn_c_Log2";"hs_zbmi_who";6;0;6
"hs_mo_c_Log2";"hs_zbmi_who";6;0;6
"hs_pb_c_Log2";"hs_zbmi_who";6;3;3
"hs_hum_mt_hs_h_None";"hs_zbmi_who";6;3;3
"hs_tm_mt_hs_h_None";"hs_zbmi_who";6;5;1
"hs_uvdvf_mt_hs_h_None";"hs_zbmi_who";6;1;5
"hs_hum_dy_hs_h_None";"hs_zbmi_who";6;0;6
"hs_hum_wk_hs_h_None";"hs_zbmi_who";6;0;6
"hs_tm_dy_hs_h_None";"hs_zbmi_who";6;2;4
"hs_tm_wk_hs_h_None";"hs_zbmi_who";6;4;2
"hs_uvdvf_dy_hs_h_None";"hs_zbmi_who";6;3;3
"hs_uvdvf_wk_hs_h_None";"hs_zbmi_who";6;0;6
"hs_ndvi100_h_None";"hs_zbmi_who";6;5;1
"hs_ndvi100_s_None";"hs_zbmi_who";6;4;2
"hs_dde_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_ddt_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_hcb_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb118_cadj_Log2";"hs_zbmi_who";6;6;0
"hs_pcb138_cadj_Log2";"hs_zbmi_who";6;3;3
"hs_pcb153_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb170_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb180_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_sumPCBs5_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pfhxs_c_Log2";"hs_zbmi_who";6;6;0
"hs_pfna_c_Log2";"hs_zbmi_who";6;2;4
"hs_pfoa_c_Log2";"hs_zbmi_who";6;3;3
"hs_pfos_c_Log2";"hs_zbmi_who";6;0;6
"hs_pfunda_c_Log2";"hs_zbmi_who";6;4;2
"hs_hm_pers_None";"hs_zbmi_who";6;4;2
"hs_trafload_h_pow1over3";"hs_zbmi_who";6;0;6
"hs_trafnear_h_pow1over3";"hs_zbmi_who";6;2;4
"FAS_cat_None_Low";"hs_zbmi_who";6;1;5
"FAS_cat_None_Middle";"hs_zbmi_who";6;5;1
"hs_globalexp2_None_no exposure";"hs_zbmi_who";6;6;0
"h_abs_ratio_preg_Log";"hs_correct_raven";6;3;3
"h_no2_ratio_preg_Log";"hs_correct_raven";6;6;0
"h_pm10_ratio_preg_None";"hs_correct_raven";6;1;5
"h_pm25_ratio_preg_None";"hs_correct_raven";6;6;0
"h_accesslines300_preg_dic0";"hs_correct_raven";6;3;3
"h_accesspoints300_preg_Log";"hs_correct_raven";6;2;4
"h_builtdens300_preg_Sqrt";"hs_correct_raven";6;6;0
"h_connind300_preg_Sqrt";"hs_correct_raven";6;2;4
"h_fdensity300_preg_Log";"hs_correct_raven";6;5;1
"h_frichness300_preg_None";"hs_correct_raven";6;6;0
"h_landuseshan300_preg_None";"hs_correct_raven";6;5;1
"h_popdens_preg_Sqrt";"hs_correct_raven";6;0;6
"h_walkability_mean_preg_None";"hs_correct_raven";6;3;3
"hs_as_m_Log2";"hs_correct_raven";6;6;0
"hs_cd_m_Log2";"hs_correct_raven";6;2;4
"hs_co_m_Log2";"hs_correct_raven";6;2;4
"hs_cs_m_Log2";"hs_correct_raven";6;3;3
"hs_cu_m_Log2";"hs_correct_raven";6;2;4
"hs_hg_m_Log2";"hs_correct_raven";6;1;5
"hs_mn_m_Log2";"hs_correct_raven";6;5;1
"hs_mo_m_Log2";"hs_correct_raven";6;6;0
"hs_pb_m_Log2";"hs_correct_raven";6;6;0
"h_humidity_preg_None";"hs_correct_raven";6;6;0
"h_pressure_preg_None";"hs_correct_raven";6;0;6
"h_temperature_preg_None";"hs_correct_raven";6;6;0
"h_ndvi100_preg_None";"hs_correct_raven";6;6;0
"hs_dde_madj_Log2";"hs_correct_raven";6;0;6
"hs_ddt_madj_Log2";"hs_correct_raven";6;5;1
"hs_hcb_madj_Log2";"hs_correct_raven";6;5;1
"hs_pcb118_madj_Log2";"hs_correct_raven";6;1;5
"hs_pcb138_madj_Log2";"hs_correct_raven";6;6;0
"hs_pcb153_madj_Log2";"hs_correct_raven";6;0;6
"hs_pcb170_madj_Log2";"hs_correct_raven";6;6;0
"hs_pcb180_madj_Log2";"hs_correct_raven";6;6;0
"hs_sumPCBs5_madj_Log2";"hs_correct_raven";6;3;3
"hs_pfhxs_m_Log2";"hs_correct_raven";6;6;0
"hs_pfna_m_Log2";"hs_correct_raven";6;1;5
"hs_pfoa_m_Log2";"hs_correct_raven";6;6;0
"hs_pfos_m_Log2";"hs_correct_raven";6;3;3
"hs_pfunda_m_Log2";"hs_correct_raven";6;6;0
"e3_asmokcigd_p_None";"hs_correct_raven";6;0;6
"h_distinvnear1_preg_Log";"hs_correct_raven";6;4;2
"h_trafload_preg_pow1over3";"hs_correct_raven";6;0;6
"h_trafnear_preg_pow1over3";"hs_correct_raven";6;0;6
"h_bro_preg_Log";"hs_correct_raven";6;6;0
"h_clf_preg_Log";"hs_correct_raven";6;2;4
"h_thm_preg_Log";"hs_correct_raven";6;2;4
"e3_alcpreg_yn_None_1";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Often";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Sometimes";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Very Often";"hs_correct_raven";6;6;0
"h_pavig_t3_None_Low";"hs_correct_raven";6;6;0
"h_pavig_t3_None_Medium";"hs_correct_raven";6;6;0
"hs_no2_dy_hs_h_Log";"hs_correct_raven";6;0;6
"hs_no2_wk_hs_h_Log";"hs_correct_raven";6;4;2
"hs_no2_yr_hs_h_Log";"hs_correct_raven";6;5;1
"hs_pm10_dy_hs_h_None";"hs_correct_raven";6;1;5
"hs_pm10_wk_hs_h_None";"hs_correct_raven";6;5;1
"hs_pm10_yr_hs_h_None";"hs_correct_raven";6;5;1
"hs_pm25_dy_hs_h_None";"hs_correct_raven";6;3;3
"hs_pm25_wk_hs_h_None";"hs_correct_raven";6;4;2
"hs_pm25_yr_hs_h_None";"hs_correct_raven";6;3;3
"hs_pm25abs_dy_hs_h_Log";"hs_correct_raven";6;6;0
"hs_pm25abs_wk_hs_h_Log";"hs_correct_raven";6;0;6
"hs_pm25abs_yr_hs_h_Log";"hs_correct_raven";6;3;3
"hs_accesslines300_h_dic0";"hs_correct_raven";6;6;0
"hs_accesspoints300_h_Log";"hs_correct_raven";6;1;5
"hs_builtdens300_h_Sqrt";"hs_correct_raven";6;2;4
"hs_connind300_h_Log";"hs_correct_raven";6;1;5
"hs_fdensity300_h_Log";"hs_correct_raven";6;6;0
"hs_landuseshan300_h_None";"hs_correct_raven";6;6;0
"hs_popdens_h_Sqrt";"hs_correct_raven";6;0;6
"hs_walkability_mean_h_None";"hs_correct_raven";6;3;3
"hs_accesslines300_s_dic0";"hs_correct_raven";6;6;0
