"exposure";"outcome";"n_selected_loco";"n_positive_selected";"n_negative_selected"
"FAS_cat_None_Middle";"e3_bw";6;0;6
"hs_globalexp2_None_no exposure";"e3_bw";6;0;6
"hs_no2_dy_hs_h_Log";"hs_asthma";6;1;5
"hs_no2_yr_hs_h_Log";"hs_asthma";6;1;5
"hs_pm10_dy_hs_h_None";"hs_asthma";6;3;3
"hs_pm10_wk_hs_h_None";"hs_asthma";6;3;3
"hs_pm10_yr_hs_h_None";"hs_asthma";6;2;4
"hs_pm25_dy_hs_h_None";"hs_asthma";6;0;6
"hs_pm25_yr_hs_h_None";"hs_asthma";6;0;6
"hs_pm25abs_dy_hs_h_Log";"hs_asthma";6;6;0
"hs_pm25abs_wk_hs_h_Log";"hs_asthma";6;0;6
"hs_pm25abs_yr_hs_h_Log";"hs_asthma";6;0;6
"hs_accesslines300_h_dic0";"hs_asthma";6;5;1
"hs_accesspoints300_h_Log";"hs_asthma";6;0;6
"hs_connind300_h_Log";"hs_asthma";6;4;2
"hs_fdensity300_h_Log";"hs_asthma";6;5;1
"hs_landuseshan300_h_None";"hs_asthma";6;6;0
"hs_popdens_h_Sqrt";"hs_asthma";6;3;3
"hs_walkability_mean_h_None";"hs_asthma";6;6;0
"hs_accesslines300_s_dic0";"hs_asthma";6;0;6
"hs_accesspoints300_s_Log";"hs_asthma";6;1;5
"hs_builtdens300_s_Sqrt";"hs_asthma";6;2;4
"hs_connind300_s_Log";"hs_asthma";6;4;2
"hs_fdensity300_s_Log";"hs_asthma";6;0;6
"hs_landuseshan300_s_None";"hs_asthma";6;0;6
"hs_popdens_s_Sqrt";"hs_asthma";6;6;0
"h_Absorbance_Log";"hs_asthma";6;6;0
"h_Benzene_Log";"hs_asthma";6;6;0
"h_NO2_Log";"hs_asthma";6;0;6
"h_PM_Log";"hs_asthma";6;3;3
"h_TEX_Log";"hs_asthma";6;0;6
"hs_KIDMED_None";"hs_asthma";6;0;6
"hs_mvpa_prd_alt_None";"hs_asthma";6;3;3
"hs_sd_wk_None";"hs_asthma";6;0;6
"hs_dif_hours_total_None";"hs_asthma";6;0;6
"hs_as_c_Log2";"hs_asthma";6;0;6
"hs_cd_c_Log2";"hs_asthma";6;5;1
"hs_co_c_Log2";"hs_asthma";6;0;6
"hs_cs_c_Log2";"hs_asthma";6;1;5
"hs_cu_c_Log2";"hs_asthma";6;1;5
"hs_hg_c_Log2";"hs_asthma";6;6;0
"hs_mn_c_Log2";"hs_asthma";6;6;0
"hs_mo_c_Log2";"hs_asthma";6;6;0
"hs_pb_c_Log2";"hs_asthma";6;0;6
"hs_hum_mt_hs_h_None";"hs_asthma";6;3;3
"hs_uvdvf_mt_hs_h_None";"hs_asthma";6;4;2
"hs_hum_dy_hs_h_None";"hs_asthma";6;6;0
"hs_hum_wk_hs_h_None";"hs_asthma";6;6;0
"hs_tm_dy_hs_h_None";"hs_asthma";6;5;1
"hs_uvdvf_wk_hs_h_None";"hs_asthma";6;5;1
"hs_ndvi100_h_None";"hs_asthma";6;0;6
"hs_ndvi100_s_None";"hs_asthma";6;0;6
"hs_dde_cadj_Log2";"hs_asthma";6;6;0
"hs_ddt_cadj_Log2";"hs_asthma";6;5;1
"hs_hcb_cadj_Log2";"hs_asthma";6;6;0
"hs_pcb118_cadj_Log2";"hs_asthma";6;5;1
"hs_pcb153_cadj_Log2";"hs_asthma";6;2;4
"hs_pcb170_cadj_Log2";"hs_asthma";6;6;0
"hs_pcb180_cadj_Log2";"hs_asthma";6;0;6
"hs_sumPCBs5_cadj_Log2";"hs_asthma";6;6;0
"hs_pfhxs_c_Log2";"hs_asthma";6;1;5
"hs_pfna_c_Log2";"hs_asthma";6;6;0
"hs_pfoa_c_Log2";"hs_asthma";6;0;6
"hs_pfos_c_Log2";"hs_asthma";6;2;4
"hs_pfunda_c_Log2";"hs_asthma";6;6;0
"hs_hm_pers_None";"hs_asthma";6;0;6
"hs_trafload_h_pow1over3";"hs_asthma";6;3;3
"hs_trafnear_h_pow1over3";"hs_asthma";6;4;2
"FAS_cat_None_Low";"hs_asthma";6;1;5
"FAS_cat_None_Middle";"hs_asthma";6;0;6
"hs_globalexp2_None_no exposure";"hs_asthma";6;1;5
"hs_no2_dy_hs_h_Log";"hs_zbmi_who";6;0;6
"hs_no2_yr_hs_h_Log";"hs_zbmi_who";6;4;2
"hs_pm10_dy_hs_h_None";"hs_zbmi_who";6;6;0
"hs_pm10_wk_hs_h_None";"hs_zbmi_who";6;0;6
"hs_pm10_yr_hs_h_None";"hs_zbmi_who";6;4;2
"hs_pm25_dy_hs_h_None";"hs_zbmi_who";6;6;0
"hs_pm25_yr_hs_h_None";"hs_zbmi_who";6;5;1
"hs_pm25abs_dy_hs_h_Log";"hs_zbmi_who";6;2;4
"hs_pm25abs_wk_hs_h_Log";"hs_zbmi_who";6;6;0
"hs_pm25abs_yr_hs_h_Log";"hs_zbmi_who";6;6;0
"hs_accesslines300_h_dic0";"hs_zbmi_who";6;1;5
"hs_accesspoints300_h_Log";"hs_zbmi_who";6;2;4
"hs_connind300_h_Log";"hs_zbmi_who";6;6;0
"hs_fdensity300_h_Log";"hs_zbmi_who";6;0;6
"hs_landuseshan300_h_None";"hs_zbmi_who";6;1;5
"hs_popdens_h_Sqrt";"hs_zbmi_who";6;6;0
"hs_walkability_mean_h_None";"hs_zbmi_who";6;3;3
"hs_accesslines300_s_dic0";"hs_zbmi_who";6;5;1
"hs_accesspoints300_s_Log";"hs_zbmi_who";6;0;6
"hs_builtdens300_s_Sqrt";"hs_zbmi_who";6;5;1
"hs_connind300_s_Log";"hs_zbmi_who";6;0;6
"hs_fdensity300_s_Log";"hs_zbmi_who";6;0;6
"hs_landuseshan300_s_None";"hs_zbmi_who";6;0;6
"hs_popdens_s_Sqrt";"hs_zbmi_who";6;0;6
"h_Absorbance_Log";"hs_zbmi_who";6;0;6
"h_Benzene_Log";"hs_zbmi_who";6;4;2
"h_NO2_Log";"hs_zbmi_who";6;6;0
"h_PM_Log";"hs_zbmi_who";6;6;0
"h_TEX_Log";"hs_zbmi_who";6;6;0
"hs_KIDMED_None";"hs_zbmi_who";6;6;0
"hs_mvpa_prd_alt_None";"hs_zbmi_who";6;0;6
"hs_sd_wk_None";"hs_zbmi_who";6;2;4
"hs_dif_hours_total_None";"hs_zbmi_who";6;0;6
"hs_as_c_Log2";"hs_zbmi_who";6;3;3
"hs_cd_c_Log2";"hs_zbmi_who";6;6;0
"hs_co_c_Log2";"hs_zbmi_who";6;0;6
"hs_cs_c_Log2";"hs_zbmi_who";6;6;0
"hs_cu_c_Log2";"hs_zbmi_who";6;6;0
"hs_hg_c_Log2";"hs_zbmi_who";6;0;6
"hs_mn_c_Log2";"hs_zbmi_who";6;0;6
"hs_mo_c_Log2";"hs_zbmi_who";6;0;6
"hs_pb_c_Log2";"hs_zbmi_who";6;0;6
"hs_hum_mt_hs_h_None";"hs_zbmi_who";6;6;0
"hs_uvdvf_mt_hs_h_None";"hs_zbmi_who";6;6;0
"hs_hum_dy_hs_h_None";"hs_zbmi_who";6;5;1
"hs_hum_wk_hs_h_None";"hs_zbmi_who";6;4;2
"hs_tm_dy_hs_h_None";"hs_zbmi_who";6;1;5
"hs_uvdvf_wk_hs_h_None";"hs_zbmi_who";6;0;6
"hs_ndvi100_h_None";"hs_zbmi_who";6;4;2
"hs_ndvi100_s_None";"hs_zbmi_who";6;0;6
"hs_dde_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_ddt_cadj_Log2";"hs_zbmi_who";6;4;2
"hs_hcb_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb118_cadj_Log2";"hs_zbmi_who";6;6;0
"hs_pcb153_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb170_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb180_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_sumPCBs5_cadj_Log2";"hs_zbmi_who";6;0;6
"hs_pfhxs_c_Log2";"hs_zbmi_who";6;4;2
"hs_pfna_c_Log2";"hs_zbmi_who";6;6;0
"hs_pfoa_c_Log2";"hs_zbmi_who";6;0;6
"hs_pfos_c_Log2";"hs_zbmi_who";6;0;6
"hs_pfunda_c_Log2";"hs_zbmi_who";6;3;3
"hs_hm_pers_None";"hs_zbmi_who";6;4;2
"hs_trafload_h_pow1over3";"hs_zbmi_who";6;0;6
"hs_trafnear_h_pow1over3";"hs_zbmi_who";6;6;0
"FAS_cat_None_Low";"hs_zbmi_who";6;0;6
"FAS_cat_None_Middle";"hs_zbmi_who";6;0;6
"hs_globalexp2_None_no exposure";"hs_zbmi_who";6;0;6
"hs_no2_dy_hs_h_Log";"hs_correct_raven";6;1;5
"hs_no2_yr_hs_h_Log";"hs_correct_raven";6;0;6
"hs_pm10_dy_hs_h_None";"hs_correct_raven";6;1;5
"hs_pm10_wk_hs_h_None";"hs_correct_raven";6;4;2
"hs_pm10_yr_hs_h_None";"hs_correct_raven";6;6;0
"hs_pm25_dy_hs_h_None";"hs_correct_raven";6;5;1
"hs_pm25_yr_hs_h_None";"hs_correct_raven";6;0;6
"hs_pm25abs_dy_hs_h_Log";"hs_correct_raven";6;6;0
"hs_pm25abs_wk_hs_h_Log";"hs_correct_raven";6;0;6
"hs_pm25abs_yr_hs_h_Log";"hs_correct_raven";6;5;1
"hs_accesslines300_h_dic0";"hs_correct_raven";6;6;0
"hs_accesspoints300_h_Log";"hs_correct_raven";6;0;6
"hs_connind300_h_Log";"hs_correct_raven";6;1;5
"hs_fdensity300_h_Log";"hs_correct_raven";6;6;0
"hs_landuseshan300_h_None";"hs_correct_raven";6;6;0
"hs_popdens_h_Sqrt";"hs_correct_raven";6;1;5
"hs_walkability_mean_h_None";"hs_correct_raven";6;5;1
"hs_accesslines300_s_dic0";"hs_correct_raven";6;2;4
"hs_accesspoints300_s_Log";"hs_correct_raven";6;0;6
"hs_builtdens300_s_Sqrt";"hs_correct_raven";6;5;1
"hs_connind300_s_Log";"hs_correct_raven";6;2;4
"hs_fdensity300_s_Log";"hs_correct_raven";6;0;6
"hs_landuseshan300_s_None";"hs_correct_raven";6;1;5
"hs_popdens_s_Sqrt";"hs_correct_raven";6;6;0
"h_Absorbance_Log";"hs_correct_raven";6;6;0
"h_Benzene_Log";"hs_correct_raven";6;0;6
"h_NO2_Log";"hs_correct_raven";6;6;0
"h_PM_Log";"hs_correct_raven";6;0;6
"h_TEX_Log";"hs_correct_raven";6;4;2
"hs_KIDMED_None";"hs_correct_raven";6;6;0
"hs_mvpa_prd_alt_None";"hs_correct_raven";6;0;6
"hs_sd_wk_None";"hs_correct_raven";6;0;6
"hs_dif_hours_total_None";"hs_correct_raven";6;0;6
"hs_as_c_Log2";"hs_correct_raven";6;6;0
"hs_cd_c_Log2";"hs_correct_raven";6;1;5
"hs_co_c_Log2";"hs_correct_raven";6;5;1
"hs_cs_c_Log2";"hs_correct_raven";6;6;0
"hs_cu_c_Log2";"hs_correct_raven";6;0;6
"hs_hg_c_Log2";"hs_correct_raven";6;0;6
"hs_mn_c_Log2";"hs_correct_raven";6;0;6
"hs_mo_c_Log2";"hs_correct_raven";6;0;6
"hs_pb_c_Log2";"hs_correct_raven";6;2;4
"hs_hum_mt_hs_h_None";"hs_correct_raven";6;6;0
"hs_uvdvf_mt_hs_h_None";"hs_correct_raven";6;6;0
"hs_hum_dy_hs_h_None";"hs_correct_raven";6;1;5
"hs_hum_wk_hs_h_None";"hs_correct_raven";6;3;3
"hs_tm_dy_hs_h_None";"hs_correct_raven";6;1;5
"hs_uvdvf_wk_hs_h_None";"hs_correct_raven";6;5;1
"hs_ndvi100_h_None";"hs_correct_raven";6;0;6
"hs_ndvi100_s_None";"hs_correct_raven";6;0;6
"hs_dde_cadj_Log2";"hs_correct_raven";6;2;4
"hs_ddt_cadj_Log2";"hs_correct_raven";6;0;6
"hs_hcb_cadj_Log2";"hs_correct_raven";6;0;6
"hs_pcb118_cadj_Log2";"hs_correct_raven";6;0;6
"hs_pcb153_cadj_Log2";"hs_correct_raven";6;2;4
"hs_pcb170_cadj_Log2";"hs_correct_raven";6;6;0
"hs_pcb180_cadj_Log2";"hs_correct_raven";6;5;1
"hs_sumPCBs5_cadj_Log2";"hs_correct_raven";6;6;0
"hs_pfhxs_c_Log2";"hs_correct_raven";6;6;0
"hs_pfna_c_Log2";"hs_correct_raven";6;2;4
"hs_pfoa_c_Log2";"hs_correct_raven";6;6;0
"hs_pfos_c_Log2";"hs_correct_raven";6;4;2
"hs_pfunda_c_Log2";"hs_correct_raven";6;6;0
"hs_hm_pers_None";"hs_correct_raven";6;0;6
"hs_trafload_h_pow1over3";"hs_correct_raven";6;0;6
"hs_trafnear_h_pow1over3";"hs_correct_raven";6;0;6
"FAS_cat_None_Low";"hs_correct_raven";6;0;6
"FAS_cat_None_Middle";"hs_correct_raven";6;2;4
"hs_globalexp2_None_no exposure";"hs_correct_raven";6;1;5
"hs_no2_dy_hs_h_Log";"hs_Gen_Tot";6;6;0
"hs_no2_yr_hs_h_Log";"hs_Gen_Tot";6;0;6
"hs_pm10_dy_hs_h_None";"hs_Gen_Tot";6;0;6
"hs_pm10_wk_hs_h_None";"hs_Gen_Tot";6;0;6
"hs_pm10_yr_hs_h_None";"hs_Gen_Tot";6;1;5
"hs_pm25_dy_hs_h_None";"hs_Gen_Tot";6;6;0
"hs_pm25_yr_hs_h_None";"hs_Gen_Tot";6;0;6
"hs_pm25abs_dy_hs_h_Log";"hs_Gen_Tot";6;0;6
"hs_pm25abs_wk_hs_h_Log";"hs_Gen_Tot";6;6;0
"hs_pm25abs_yr_hs_h_Log";"hs_Gen_Tot";6;0;6
"hs_accesslines300_h_dic0";"hs_Gen_Tot";6;6;0
"hs_accesspoints300_h_Log";"hs_Gen_Tot";6;5;1
"hs_connind300_h_Log";"hs_Gen_Tot";6;6;0
"hs_fdensity300_h_Log";"hs_Gen_Tot";6;0;6
"hs_landuseshan300_h_None";"hs_Gen_Tot";6;0;6
"hs_popdens_h_Sqrt";"hs_Gen_Tot";6;2;4
"hs_walkability_mean_h_None";"hs_Gen_Tot";6;2;4
"hs_accesslines300_s_dic0";"hs_Gen_Tot";6;6;0
"hs_accesspoints300_s_Log";"hs_Gen_Tot";6;4;2
"hs_builtdens300_s_Sqrt";"hs_Gen_Tot";6;6;0
"hs_connind300_s_Log";"hs_Gen_Tot";6;6;0
"hs_fdensity300_s_Log";"hs_Gen_Tot";6;5;1
"hs_landuseshan300_s_None";"hs_Gen_Tot";6;6;0
"hs_popdens_s_Sqrt";"hs_Gen_Tot";6;3;3
"h_Absorbance_Log";"hs_Gen_Tot";6;0;6
"h_Benzene_Log";"hs_Gen_Tot";6;6;0
"h_NO2_Log";"hs_Gen_Tot";6;3;3
"h_PM_Log";"hs_Gen_Tot";6;6;0
"h_TEX_Log";"hs_Gen_Tot";6;0;6
"hs_KIDMED_None";"hs_Gen_Tot";6;0;6
"hs_mvpa_prd_alt_None";"hs_Gen_Tot";6;0;6
"hs_sd_wk_None";"hs_Gen_Tot";6;6;0
"hs_dif_hours_total_None";"hs_Gen_Tot";6;0;6
"hs_as_c_Log2";"hs_Gen_Tot";6;4;2
"hs_cd_c_Log2";"hs_Gen_Tot";6;6;0
"hs_co_c_Log2";"hs_Gen_Tot";6;0;6
"hs_cs_c_Log2";"hs_Gen_Tot";6;6;0
"hs_cu_c_Log2";"hs_Gen_Tot";6;6;0
"hs_hg_c_Log2";"hs_Gen_Tot";6;0;6
"hs_mn_c_Log2";"hs_Gen_Tot";6;6;0
"hs_mo_c_Log2";"hs_Gen_Tot";6;5;1
"hs_pb_c_Log2";"hs_Gen_Tot";6;6;0
"hs_hum_mt_hs_h_None";"hs_Gen_Tot";6;6;0
"hs_uvdvf_mt_hs_h_None";"hs_Gen_Tot";6;0;6
"hs_hum_dy_hs_h_None";"hs_Gen_Tot";6;0;6
"hs_hum_wk_hs_h_None";"hs_Gen_Tot";6;5;1
"hs_tm_dy_hs_h_None";"hs_Gen_Tot";6;0;6
"hs_uvdvf_wk_hs_h_None";"hs_Gen_Tot";6;6;0
"hs_ndvi100_h_None";"hs_Gen_Tot";6;0;6
"hs_ndvi100_s_None";"hs_Gen_Tot";6;3;3
"hs_dde_cadj_Log2";"hs_Gen_Tot";6;0;6
"hs_ddt_cadj_Log2";"hs_Gen_Tot";6;0;6
"hs_hcb_cadj_Log2";"hs_Gen_Tot";6;6;0
"hs_pcb118_cadj_Log2";"hs_Gen_Tot";6;5;1
"hs_pcb153_cadj_Log2";"hs_Gen_Tot";6;4;2
"hs_pcb170_cadj_Log2";"hs_Gen_Tot";6;1;5
"hs_pcb180_cadj_Log2";"hs_Gen_Tot";6;0;6
"hs_sumPCBs5_cadj_Log2";"hs_Gen_Tot";6;3;3
"hs_pfhxs_c_Log2";"hs_Gen_Tot";6;6;0
"hs_pfna_c_Log2";"hs_Gen_Tot";6;6;0
"hs_pfoa_c_Log2";"hs_Gen_Tot";6;0;6
"hs_pfos_c_Log2";"hs_Gen_Tot";6;0;6
"hs_pfunda_c_Log2";"hs_Gen_Tot";6;6;0
"hs_hm_pers_None";"hs_Gen_Tot";6;0;6
"hs_trafload_h_pow1over3";"hs_Gen_Tot";6;6;0
"hs_trafnear_h_pow1over3";"hs_Gen_Tot";6;5;1
"FAS_cat_None_Low";"hs_Gen_Tot";6;5;1
"FAS_cat_None_Middle";"hs_Gen_Tot";6;6;0
"hs_globalexp2_None_no exposure";"hs_Gen_Tot";6;1;5
"hs_no2_dy_hs_h_Log";"hs_bmi_c_cat";6;0;6
"hs_no2_yr_hs_h_Log";"hs_bmi_c_cat";6;4;2
"hs_pm10_dy_hs_h_None";"hs_bmi_c_cat";6;6;0
"hs_pm10_wk_hs_h_None";"hs_bmi_c_cat";6;0;6
"hs_pm10_yr_hs_h_None";"hs_bmi_c_cat";6;2;4
"hs_pm25_dy_hs_h_None";"hs_bmi_c_cat";6;6;0
"hs_pm25_yr_hs_h_None";"hs_bmi_c_cat";6;3;3
"hs_pm25abs_dy_hs_h_Log";"hs_bmi_c_cat";6;2;4
"hs_pm25abs_wk_hs_h_Log";"hs_bmi_c_cat";6;6;0
"hs_pm25abs_yr_hs_h_Log";"hs_bmi_c_cat";6;5;1
"hs_accesslines300_h_dic0";"hs_bmi_c_cat";6;2;4
"hs_accesspoints300_h_Log";"hs_bmi_c_cat";6;1;5
"hs_connind300_h_Log";"hs_bmi_c_cat";6;6;0
"hs_fdensity300_h_Log";"hs_bmi_c_cat";6;0;6
"hs_landuseshan300_h_None";"hs_bmi_c_cat";6;1;5
"hs_popdens_h_Sqrt";"hs_bmi_c_cat";6;6;0
"hs_walkability_mean_h_None";"hs_bmi_c_cat";6;4;2
"hs_accesslines300_s_dic0";"hs_bmi_c_cat";6;5;1
"hs_accesspoints300_s_Log";"hs_bmi_c_cat";6;0;6
"hs_builtdens300_s_Sqrt";"hs_bmi_c_cat";6;4;2
"hs_connind300_s_Log";"hs_bmi_c_cat";6;0;6
"hs_fdensity300_s_Log";"hs_bmi_c_cat";6;0;6
"hs_landuseshan300_s_None";"hs_bmi_c_cat";6;0;6
"hs_popdens_s_Sqrt";"hs_bmi_c_cat";6;0;6
"h_Absorbance_Log";"hs_bmi_c_cat";6;1;5
"h_Benzene_Log";"hs_bmi_c_cat";6;6;0
"h_NO2_Log";"hs_bmi_c_cat";6;6;0
"h_PM_Log";"hs_bmi_c_cat";6;6;0
"h_TEX_Log";"hs_bmi_c_cat";6;6;0
"hs_KIDMED_None";"hs_bmi_c_cat";6;6;0
"hs_mvpa_prd_alt_None";"hs_bmi_c_cat";6;0;6
"hs_sd_wk_None";"hs_bmi_c_cat";6;3;3
"hs_dif_hours_total_None";"hs_bmi_c_cat";6;0;6
"hs_as_c_Log2";"hs_bmi_c_cat";6;2;4
"hs_cd_c_Log2";"hs_bmi_c_cat";6;6;0
"hs_co_c_Log2";"hs_bmi_c_cat";6;0;6
"hs_cs_c_Log2";"hs_bmi_c_cat";6;6;0
"hs_cu_c_Log2";"hs_bmi_c_cat";6;6;0
"hs_hg_c_Log2";"hs_bmi_c_cat";6;0;6
"hs_mn_c_Log2";"hs_bmi_c_cat";6;3;3
"hs_mo_c_Log2";"hs_bmi_c_cat";6;0;6
"hs_pb_c_Log2";"hs_bmi_c_cat";6;0;6
"hs_hum_mt_hs_h_None";"hs_bmi_c_cat";6;6;0
"hs_uvdvf_mt_hs_h_None";"hs_bmi_c_cat";6;6;0
"hs_hum_dy_hs_h_None";"hs_bmi_c_cat";6;6;0
"hs_hum_wk_hs_h_None";"hs_bmi_c_cat";6;4;2
"hs_tm_dy_hs_h_None";"hs_bmi_c_cat";6;1;5
"hs_uvdvf_wk_hs_h_None";"hs_bmi_c_cat";6;0;6
"hs_ndvi100_h_None";"hs_bmi_c_cat";6;2;4
"hs_ndvi100_s_None";"hs_bmi_c_cat";6;0;6
"hs_dde_cadj_Log2";"hs_bmi_c_cat";6;0;6
"hs_ddt_cadj_Log2";"hs_bmi_c_cat";6;5;1
"hs_hcb_cadj_Log2";"hs_bmi_c_cat";6;0;6
"hs_pcb118_cadj_Log2";"hs_bmi_c_cat";6;6;0
"hs_pcb153_cadj_Log2";"hs_bmi_c_cat";6;0;6
"hs_pcb170_cadj_Log2";"hs_bmi_c_cat";6;0;6
"hs_pcb180_cadj_Log2";"hs_bmi_c_cat";6;0;6
"hs_sumPCBs5_cadj_Log2";"hs_bmi_c_cat";6;0;6
"hs_pfhxs_c_Log2";"hs_bmi_c_cat";6;5;1
"hs_pfna_c_Log2";"hs_bmi_c_cat";6;6;0
"hs_pfoa_c_Log2";"hs_bmi_c_cat";6;0;6
"hs_pfos_c_Log2";"hs_bmi_c_cat";6;0;6
"hs_pfunda_c_Log2";"hs_bmi_c_cat";6;4;2
"hs_hm_pers_None";"hs_bmi_c_cat";6;4;2
"hs_trafload_h_pow1over3";"hs_bmi_c_cat";6;0;6
"hs_trafnear_h_pow1over3";"hs_bmi_c_cat";6;6;0
"FAS_cat_None_Low";"hs_bmi_c_cat";6;0;6
"FAS_cat_None_Middle";"hs_bmi_c_cat";6;0;6
"hs_globalexp2_None_no exposure";"hs_bmi_c_cat";6;0;6
