"exposure";"outcome";"n_significant_loco";"n_positive_significant";"n_negative_significant"
"h_ndvi100_preg_None";"hs_asthma";2;2;0
"hs_dde_madj_Log2";"hs_asthma";0;0;0
"hs_ddt_madj_Log2";"hs_asthma";0;0;0
"hs_hcb_madj_Log2";"hs_asthma";3;3;0
"hs_pcb118_madj_Log2";"hs_asthma";4;4;0
"hs_pcb138_madj_Log2";"hs_asthma";0;0;0
"hs_pcb153_madj_Log2";"hs_asthma";4;4;0
"hs_pcb170_madj_Log2";"hs_asthma";1;0;1
"hs_pcb180_madj_Log2";"hs_asthma";0;0;0
"hs_sumPCBs5_madj_Log2";"hs_asthma";0;0;0
"hs_pfhxs_m_Log2";"hs_asthma";0;0;0
"hs_pfna_m_Log2";"hs_asthma";3;3;0
"hs_pfoa_m_Log2";"hs_asthma";0;0;0
"hs_pfos_m_Log2";"hs_asthma";0;0;0
"hs_pfunda_m_Log2";"hs_asthma";0;0;0
"e3_asmokcigd_p_None";"hs_asthma";4;4;0
"h_distinvnear1_preg_Log";"hs_asthma";0;0;0
"h_trafload_preg_pow1over3";"hs_asthma";0;0;0
"h_trafnear_preg_pow1over3";"hs_asthma";0;0;0
"h_bro_preg_Log";"hs_asthma";0;0;0
"h_clf_preg_Log";"hs_asthma";1;0;1
"h_thm_preg_Log";"hs_asthma";0;0;0
"e3_alcpreg_yn_None_1";"hs_asthma";1;0;1
"h_pamod_t3_None_Often";"hs_asthma";4;0;4
"h_pamod_t3_None_Sometimes";"hs_asthma";0;0;0
"h_pamod_t3_None_Very Often";"hs_asthma";5;0;5
"h_pavig_t3_None_Low";"hs_asthma";6;0;6
"h_pavig_t3_None_Medium";"hs_asthma";5;0;5
"h_abs_ratio_preg_Log";"hs_zbmi_who";2;0;2
"h_no2_ratio_preg_Log";"hs_zbmi_who";0;0;0
"h_pm10_ratio_preg_None";"hs_zbmi_who";2;0;2
"h_pm25_ratio_preg_None";"hs_zbmi_who";0;0;0
"h_accesslines300_preg_dic0";"hs_zbmi_who";3;3;0
"h_accesspoints300_preg_Log";"hs_zbmi_who";0;0;0
"h_builtdens300_preg_Sqrt";"hs_zbmi_who";0;0;0
"h_connind300_preg_Sqrt";"hs_zbmi_who";0;0;0
"h_fdensity300_preg_Log";"hs_zbmi_who";1;0;1
"h_frichness300_preg_None";"hs_zbmi_who";0;0;0
"h_landuseshan300_preg_None";"hs_zbmi_who";1;1;0
"h_popdens_preg_Sqrt";"hs_zbmi_who";5;5;0
"h_walkability_mean_preg_None";"hs_zbmi_who";4;0;4
"hs_as_m_Log2";"hs_zbmi_who";5;5;0
"hs_cd_m_Log2";"hs_zbmi_who";0;0;0
"hs_co_m_Log2";"hs_zbmi_who";1;1;0
"hs_cs_m_Log2";"hs_zbmi_who";0;0;0
"hs_cu_m_Log2";"hs_zbmi_who";0;0;0
"hs_hg_m_Log2";"hs_zbmi_who";0;0;0
"hs_mn_m_Log2";"hs_zbmi_who";0;0;0
"hs_mo_m_Log2";"hs_zbmi_who";0;0;0
"hs_pb_m_Log2";"hs_zbmi_who";0;0;0
"h_humidity_preg_None";"hs_zbmi_who";6;6;0
"h_pressure_preg_None";"hs_zbmi_who";5;0;5
"h_temperature_preg_None";"hs_zbmi_who";0;0;0
"h_ndvi100_preg_None";"hs_zbmi_who";0;0;0
"hs_dde_madj_Log2";"hs_zbmi_who";0;0;0
"hs_ddt_madj_Log2";"hs_zbmi_who";0;0;0
"hs_hcb_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pcb118_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pcb138_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pcb153_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pcb170_madj_Log2";"hs_zbmi_who";1;0;1
"hs_pcb180_madj_Log2";"hs_zbmi_who";0;0;0
"hs_sumPCBs5_madj_Log2";"hs_zbmi_who";0;0;0
"hs_pfhxs_m_Log2";"hs_zbmi_who";0;0;0
"hs_pfna_m_Log2";"hs_zbmi_who";1;0;1
"hs_pfoa_m_Log2";"hs_zbmi_who";0;0;0
"hs_pfos_m_Log2";"hs_zbmi_who";2;0;2
"hs_pfunda_m_Log2";"hs_zbmi_who";0;0;0
"e3_asmokcigd_p_None";"hs_zbmi_who";0;0;0
"h_distinvnear1_preg_Log";"hs_zbmi_who";0;0;0
"h_trafload_preg_pow1over3";"hs_zbmi_who";2;2;0
"h_trafnear_preg_pow1over3";"hs_zbmi_who";1;0;1
"h_bro_preg_Log";"hs_zbmi_who";1;1;0
"h_clf_preg_Log";"hs_zbmi_who";1;0;1
"h_thm_preg_Log";"hs_zbmi_who";0;0;0
"e3_alcpreg_yn_None_1";"hs_zbmi_who";1;1;0
"h_pamod_t3_None_Often";"hs_zbmi_who";6;6;0
"h_pamod_t3_None_Sometimes";"hs_zbmi_who";6;6;0
"h_pamod_t3_None_Very Often";"hs_zbmi_who";6;6;0
"h_pavig_t3_None_Low";"hs_zbmi_who";6;6;0
"h_pavig_t3_None_Medium";"hs_zbmi_who";6;6;0
"h_abs_ratio_preg_Log";"hs_correct_raven";0;0;0
"h_no2_ratio_preg_Log";"hs_correct_raven";1;1;0
"h_pm10_ratio_preg_None";"hs_correct_raven";2;0;2
"h_pm25_ratio_preg_None";"hs_correct_raven";2;2;0
"h_accesslines300_preg_dic0";"hs_correct_raven";1;1;0
"h_accesspoints300_preg_Log";"hs_correct_raven";1;1;0
"h_builtdens300_preg_Sqrt";"hs_correct_raven";0;0;0
"h_connind300_preg_Sqrt";"hs_correct_raven";0;0;0
"h_fdensity300_preg_Log";"hs_correct_raven";2;2;0
"h_frichness300_preg_None";"hs_correct_raven";0;0;0
"h_landuseshan300_preg_None";"hs_correct_raven";0;0;0
"h_popdens_preg_Sqrt";"hs_correct_raven";1;0;1
"h_walkability_mean_preg_None";"hs_correct_raven";0;0;0
"hs_as_m_Log2";"hs_correct_raven";0;0;0
"hs_cd_m_Log2";"hs_correct_raven";0;0;0
"hs_co_m_Log2";"hs_correct_raven";1;1;0
"hs_cs_m_Log2";"hs_correct_raven";0;0;0
"hs_cu_m_Log2";"hs_correct_raven";0;0;0
"hs_hg_m_Log2";"hs_correct_raven";0;0;0
"hs_mn_m_Log2";"hs_correct_raven";0;0;0
"hs_mo_m_Log2";"hs_correct_raven";1;1;0
"hs_pb_m_Log2";"hs_correct_raven";0;0;0
"h_humidity_preg_None";"hs_correct_raven";2;2;0
"h_pressure_preg_None";"hs_correct_raven";5;0;5
"h_temperature_preg_None";"hs_correct_raven";2;2;0
"h_ndvi100_preg_None";"hs_correct_raven";0;0;0
"hs_dde_madj_Log2";"hs_correct_raven";1;0;1
"hs_ddt_madj_Log2";"hs_correct_raven";0;0;0
"hs_hcb_madj_Log2";"hs_correct_raven";0;0;0
"hs_pcb118_madj_Log2";"hs_correct_raven";3;0;3
"hs_pcb138_madj_Log2";"hs_correct_raven";1;1;0
"hs_pcb153_madj_Log2";"hs_correct_raven";1;0;1
"hs_pcb170_madj_Log2";"hs_correct_raven";0;0;0
"hs_pcb180_madj_Log2";"hs_correct_raven";3;3;0
"hs_sumPCBs5_madj_Log2";"hs_correct_raven";1;1;0
"hs_pfhxs_m_Log2";"hs_correct_raven";5;5;0
"hs_pfna_m_Log2";"hs_correct_raven";0;0;0
"hs_pfoa_m_Log2";"hs_correct_raven";0;0;0
"hs_pfos_m_Log2";"hs_correct_raven";0;0;0
"hs_pfunda_m_Log2";"hs_correct_raven";0;0;0
"e3_asmokcigd_p_None";"hs_correct_raven";1;0;1
"h_distinvnear1_preg_Log";"hs_correct_raven";0;0;0
"h_trafload_preg_pow1over3";"hs_correct_raven";1;0;1
"h_trafnear_preg_pow1over3";"hs_correct_raven";3;0;3
"h_bro_preg_Log";"hs_correct_raven";1;1;0
"h_clf_preg_Log";"hs_correct_raven";1;0;1
"h_thm_preg_Log";"hs_correct_raven";0;0;0
"e3_alcpreg_yn_None_1";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Often";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Sometimes";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Very Often";"hs_correct_raven";6;6;0
"h_pavig_t3_None_Low";"hs_correct_raven";6;6;0
"h_pavig_t3_None_Medium";"hs_correct_raven";6;6;0
"h_abs_ratio_preg_Log";"hs_Gen_Tot";1;0;1
"h_no2_ratio_preg_Log";"hs_Gen_Tot";2;0;2
"h_pm10_ratio_preg_None";"hs_Gen_Tot";1;0;1
"h_pm25_ratio_preg_None";"hs_Gen_Tot";1;0;1
"h_accesslines300_preg_dic0";"hs_Gen_Tot";3;3;0
"h_accesspoints300_preg_Log";"hs_Gen_Tot";0;0;0
"h_builtdens300_preg_Sqrt";"hs_Gen_Tot";0;0;0
"h_connind300_preg_Sqrt";"hs_Gen_Tot";0;0;0
"h_fdensity300_preg_Log";"hs_Gen_Tot";1;0;1
"h_frichness300_preg_None";"hs_Gen_Tot";0;0;0
"h_landuseshan300_preg_None";"hs_Gen_Tot";0;0;0
"h_popdens_preg_Sqrt";"hs_Gen_Tot";1;1;0
"h_walkability_mean_preg_None";"hs_Gen_Tot";0;0;0
"hs_as_m_Log2";"hs_Gen_Tot";0;0;0
"hs_cd_m_Log2";"hs_Gen_Tot";0;0;0
"hs_co_m_Log2";"hs_Gen_Tot";0;0;0
"hs_cs_m_Log2";"hs_Gen_Tot";3;0;3
"hs_cu_m_Log2";"hs_Gen_Tot";0;0;0
"hs_hg_m_Log2";"hs_Gen_Tot";0;0;0
"hs_mn_m_Log2";"hs_Gen_Tot";0;0;0
"hs_mo_m_Log2";"hs_Gen_Tot";1;0;1
"hs_pb_m_Log2";"hs_Gen_Tot";1;0;1
"h_humidity_preg_None";"hs_Gen_Tot";6;6;0
"h_pressure_preg_None";"hs_Gen_Tot";3;0;3
"h_temperature_preg_None";"hs_Gen_Tot";1;0;1
"h_ndvi100_preg_None";"hs_Gen_Tot";0;0;0
"hs_dde_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_ddt_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_hcb_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_pcb118_madj_Log2";"hs_Gen_Tot";2;2;0
"hs_pcb138_madj_Log2";"hs_Gen_Tot";4;0;4
"hs_pcb153_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_pcb170_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_pcb180_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_sumPCBs5_madj_Log2";"hs_Gen_Tot";0;0;0
"hs_pfhxs_m_Log2";"hs_Gen_Tot";0;0;0
"hs_pfna_m_Log2";"hs_Gen_Tot";1;0;1
"hs_pfoa_m_Log2";"hs_Gen_Tot";1;0;1
"hs_pfos_m_Log2";"hs_Gen_Tot";0;0;0
"hs_pfunda_m_Log2";"hs_Gen_Tot";1;0;1
"e3_asmokcigd_p_None";"hs_Gen_Tot";0;0;0
"h_distinvnear1_preg_Log";"hs_Gen_Tot";0;0;0
"h_trafload_preg_pow1over3";"hs_Gen_Tot";0;0;0
"h_trafnear_preg_pow1over3";"hs_Gen_Tot";0;0;0
"h_bro_preg_Log";"hs_Gen_Tot";0;0;0
"h_clf_preg_Log";"hs_Gen_Tot";2;2;0
"h_thm_preg_Log";"hs_Gen_Tot";0;0;0
"e3_alcpreg_yn_None_1";"hs_Gen_Tot";0;0;0
"h_pamod_t3_None_Often";"hs_Gen_Tot";6;6;0
"h_pamod_t3_None_Sometimes";"hs_Gen_Tot";3;3;0
"h_pamod_t3_None_Very Often";"hs_Gen_Tot";6;6;0
"h_pavig_t3_None_Low";"hs_Gen_Tot";6;6;0
"h_pavig_t3_None_Medium";"hs_Gen_Tot";6;6;0
"h_abs_ratio_preg_Log";"hs_bmi_c_cat";0;0;0
"h_no2_ratio_preg_Log";"hs_bmi_c_cat";0;0;0
"h_pm10_ratio_preg_None";"hs_bmi_c_cat";0;0;0
"h_pm25_ratio_preg_None";"hs_bmi_c_cat";0;0;0
"h_accesslines300_preg_dic0";"hs_bmi_c_cat";0;0;0
"h_accesspoints300_preg_Log";"hs_bmi_c_cat";1;0;1
"h_builtdens300_preg_Sqrt";"hs_bmi_c_cat";0;0;0
"h_connind300_preg_Sqrt";"hs_bmi_c_cat";0;0;0
"h_fdensity300_preg_Log";"hs_bmi_c_cat";2;0;2
"h_frichness300_preg_None";"hs_bmi_c_cat";0;0;0
"h_landuseshan300_preg_None";"hs_bmi_c_cat";0;0;0
"h_popdens_preg_Sqrt";"hs_bmi_c_cat";1;1;0
"h_walkability_mean_preg_None";"hs_bmi_c_cat";0;0;0
"hs_as_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_cd_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_co_m_Log2";"hs_bmi_c_cat";1;1;0
"hs_cs_m_Log2";"hs_bmi_c_cat";1;1;0
"hs_cu_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_hg_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_mn_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_mo_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_pb_m_Log2";"hs_bmi_c_cat";0;0;0
"h_humidity_preg_None";"hs_bmi_c_cat";2;0;2
"h_pressure_preg_None";"hs_bmi_c_cat";0;0;0
"h_temperature_preg_None";"hs_bmi_c_cat";0;0;0
"h_ndvi100_preg_None";"hs_bmi_c_cat";0;0;0
"hs_dde_madj_Log2";"hs_bmi_c_cat";3;3;0
"hs_ddt_madj_Log2";"hs_bmi_c_cat";0;0;0
"hs_hcb_madj_Log2";"hs_bmi_c_cat";0;0;0
"hs_pcb118_madj_Log2";"hs_bmi_c_cat";0;0;0
"hs_pcb138_madj_Log2";"hs_bmi_c_cat";0;0;0
"hs_pcb153_madj_Log2";"hs_bmi_c_cat";0;0;0
"hs_pcb170_madj_Log2";"hs_bmi_c_cat";2;0;2
"hs_pcb180_madj_Log2";"hs_bmi_c_cat";0;0;0
"hs_sumPCBs5_madj_Log2";"hs_bmi_c_cat";1;0;1
"hs_pfhxs_m_Log2";"hs_bmi_c_cat";2;0;2
"hs_pfna_m_Log2";"hs_bmi_c_cat";1;1;0
"hs_pfoa_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_pfos_m_Log2";"hs_bmi_c_cat";0;0;0
"hs_pfunda_m_Log2";"hs_bmi_c_cat";0;0;0
"e3_asmokcigd_p_None";"hs_bmi_c_cat";0;0;0
"h_distinvnear1_preg_Log";"hs_bmi_c_cat";0;0;0
"h_trafload_preg_pow1over3";"hs_bmi_c_cat";5;5;0
"h_trafnear_preg_pow1over3";"hs_bmi_c_cat";0;0;0
"h_bro_preg_Log";"hs_bmi_c_cat";0;0;0
"h_clf_preg_Log";"hs_bmi_c_cat";1;0;1
"h_thm_preg_Log";"hs_bmi_c_cat";3;0;3
"e3_alcpreg_yn_None_1";"hs_bmi_c_cat";0;0;0
"h_pamod_t3_None_Often";"hs_bmi_c_cat";3;0;3
"h_pamod_t3_None_Sometimes";"hs_bmi_c_cat";0;0;0
"h_pamod_t3_None_Very Often";"hs_bmi_c_cat";0;0;0
"h_pavig_t3_None_Low";"hs_bmi_c_cat";5;0;5
"h_pavig_t3_None_Medium";"hs_bmi_c_cat";3;0;3
