"exposure";"outcome";"n_selected_loco";"n_positive_selected";"n_negative_selected"
"h_abs_ratio_preg_Log";"hs_asthma";6;0;6
"h_no2_ratio_preg_Log";"hs_asthma";6;0;6
"h_pm10_ratio_preg_None";"hs_asthma";6;5;1
"h_pm25_ratio_preg_None";"hs_asthma";6;1;5
"h_accesslines300_preg_dic0";"hs_asthma";6;0;6
"h_accesspoints300_preg_Log";"hs_asthma";6;2;4
"h_builtdens300_preg_Sqrt";"hs_asthma";6;5;1
"h_connind300_preg_Sqrt";"hs_asthma";6;6;0
"h_fdensity300_preg_Log";"hs_asthma";6;1;5
"h_frichness300_preg_None";"hs_asthma";6;6;0
"h_landuseshan300_preg_None";"hs_asthma";6;0;6
"h_popdens_preg_Sqrt";"hs_asthma";6;0;6
"h_walkability_mean_preg_None";"hs_asthma";6;6;0
"hs_as_m_Log2";"hs_asthma";6;6;0
"hs_cd_m_Log2";"hs_asthma";6;0;6
"hs_co_m_Log2";"hs_asthma";6;6;0
"hs_cs_m_Log2";"hs_asthma";6;1;5
"hs_cu_m_Log2";"hs_asthma";6;2;4
"hs_hg_m_Log2";"hs_asthma";6;0;6
"hs_mn_m_Log2";"hs_asthma";6;5;1
"hs_mo_m_Log2";"hs_asthma";6;6;0
"hs_pb_m_Log2";"hs_asthma";6;3;3
"h_humidity_preg_None";"hs_asthma";6;0;6
"h_pressure_preg_None";"hs_asthma";6;5;1
"h_temperature_preg_None";"hs_asthma";6;6;0
"h_ndvi100_preg_None";"hs_asthma";6;6;0
"hs_dde_madj_Log2";"hs_asthma";6;1;5
"hs_ddt_madj_Log2";"hs_asthma";6;1;5
"hs_hcb_madj_Log2";"hs_asthma";6;6;0
"hs_pcb118_madj_Log2";"hs_asthma";6;6;0
"hs_pcb138_madj_Log2";"hs_asthma";6;6;0
"hs_pcb153_madj_Log2";"hs_asthma";6;6;0
"hs_pcb170_madj_Log2";"hs_asthma";6;0;6
"hs_pcb180_madj_Log2";"hs_asthma";6;1;5
"hs_sumPCBs5_madj_Log2";"hs_asthma";6;1;5
"hs_pfhxs_m_Log2";"hs_asthma";6;5;1
"hs_pfna_m_Log2";"hs_asthma";6;6;0
"hs_pfoa_m_Log2";"hs_asthma";6;4;2
"hs_pfos_m_Log2";"hs_asthma";6;3;3
"hs_pfunda_m_Log2";"hs_asthma";6;2;4
"e3_asmokcigd_p_None";"hs_asthma";6;6;0
"h_distinvnear1_preg_Log";"hs_asthma";6;5;1
"h_trafload_preg_pow1over3";"hs_asthma";6;0;6
"h_trafnear_preg_pow1over3";"hs_asthma";6;0;6
"h_bro_preg_Log";"hs_asthma";6;6;0
"h_clf_preg_Log";"hs_asthma";6;1;5
"h_thm_preg_Log";"hs_asthma";6;5;1
"e3_alcpreg_yn_None_1";"hs_asthma";6;0;6
"h_pamod_t3_None_Often";"hs_asthma";6;0;6
"h_pamod_t3_None_Sometimes";"hs_asthma";6;1;5
"h_pamod_t3_None_Very Often";"hs_asthma";6;0;6
"h_pavig_t3_None_Low";"hs_asthma";6;0;6
"h_pavig_t3_None_Medium";"hs_asthma";6;0;6
"h_abs_ratio_preg_Log";"hs_zbmi_who";6;0;6
"h_no2_ratio_preg_Log";"hs_zbmi_who";6;2;4
"h_pm10_ratio_preg_None";"hs_zbmi_who";6;1;5
"h_pm25_ratio_preg_None";"hs_zbmi_who";6;2;4
"h_accesslines300_preg_dic0";"hs_zbmi_who";6;6;0
"h_accesspoints300_preg_Log";"hs_zbmi_who";6;3;3
"h_builtdens300_preg_Sqrt";"hs_zbmi_who";6;1;5
"h_connind300_preg_Sqrt";"hs_zbmi_who";6;3;3
"h_fdensity300_preg_Log";"hs_zbmi_who";6;3;3
"h_frichness300_preg_None";"hs_zbmi_who";6;6;0
"h_landuseshan300_preg_None";"hs_zbmi_who";6;6;0
"h_popdens_preg_Sqrt";"hs_zbmi_who";6;6;0
"h_walkability_mean_preg_None";"hs_zbmi_who";6;0;6
"hs_as_m_Log2";"hs_zbmi_who";6;6;0
"hs_cd_m_Log2";"hs_zbmi_who";6;6;0
"hs_co_m_Log2";"hs_zbmi_who";6;6;0
"hs_cs_m_Log2";"hs_zbmi_who";6;1;5
"hs_cu_m_Log2";"hs_zbmi_who";6;0;6
"hs_hg_m_Log2";"hs_zbmi_who";6;1;5
"hs_mn_m_Log2";"hs_zbmi_who";6;1;5
"hs_mo_m_Log2";"hs_zbmi_who";6;1;5
"hs_pb_m_Log2";"hs_zbmi_who";6;3;3
"h_humidity_preg_None";"hs_zbmi_who";6;6;0
"h_pressure_preg_None";"hs_zbmi_who";6;0;6
"h_temperature_preg_None";"hs_zbmi_who";6;4;2
"h_ndvi100_preg_None";"hs_zbmi_who";6;5;1
"hs_dde_madj_Log2";"hs_zbmi_who";6;6;0
"hs_ddt_madj_Log2";"hs_zbmi_who";6;0;6
"hs_hcb_madj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb118_madj_Log2";"hs_zbmi_who";6;5;1
"hs_pcb138_madj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb153_madj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb170_madj_Log2";"hs_zbmi_who";6;0;6
"hs_pcb180_madj_Log2";"hs_zbmi_who";6;4;2
"hs_sumPCBs5_madj_Log2";"hs_zbmi_who";6;1;5
"hs_pfhxs_m_Log2";"hs_zbmi_who";6;4;2
"hs_pfna_m_Log2";"hs_zbmi_who";6;1;5
"hs_pfoa_m_Log2";"hs_zbmi_who";6;6;0
"hs_pfos_m_Log2";"hs_zbmi_who";6;1;5
"hs_pfunda_m_Log2";"hs_zbmi_who";6;0;6
"e3_asmokcigd_p_None";"hs_zbmi_who";6;1;5
"h_distinvnear1_preg_Log";"hs_zbmi_who";6;2;4
"h_trafload_preg_pow1over3";"hs_zbmi_who";6;6;0
"h_trafnear_preg_pow1over3";"hs_zbmi_who";6;0;6
"h_bro_preg_Log";"hs_zbmi_who";6;5;1
"h_clf_preg_Log";"hs_zbmi_who";6;5;1
"h_thm_preg_Log";"hs_zbmi_who";6;0;6
"e3_alcpreg_yn_None_1";"hs_zbmi_who";6;5;1
"h_pamod_t3_None_Often";"hs_zbmi_who";6;6;0
"h_pamod_t3_None_Sometimes";"hs_zbmi_who";6;6;0
"h_pamod_t3_None_Very Often";"hs_zbmi_who";6;6;0
"h_pavig_t3_None_Low";"hs_zbmi_who";6;6;0
"h_pavig_t3_None_Medium";"hs_zbmi_who";6;6;0
"h_abs_ratio_preg_Log";"hs_correct_raven";6;2;4
"h_no2_ratio_preg_Log";"hs_correct_raven";6;6;0
"h_pm10_ratio_preg_None";"hs_correct_raven";6;1;5
"h_pm25_ratio_preg_None";"hs_correct_raven";6;6;0
"h_accesslines300_preg_dic0";"hs_correct_raven";6;6;0
"h_accesspoints300_preg_Log";"hs_correct_raven";6;3;3
"h_builtdens300_preg_Sqrt";"hs_correct_raven";6;6;0
"h_connind300_preg_Sqrt";"hs_correct_raven";6;1;5
"h_fdensity300_preg_Log";"hs_correct_raven";6;5;1
"h_frichness300_preg_None";"hs_correct_raven";6;6;0
"h_landuseshan300_preg_None";"hs_correct_raven";6;5;1
"h_popdens_preg_Sqrt";"hs_correct_raven";6;0;6
"h_walkability_mean_preg_None";"hs_correct_raven";6;1;5
"hs_as_m_Log2";"hs_correct_raven";6;6;0
"hs_cd_m_Log2";"hs_correct_raven";6;2;4
"hs_co_m_Log2";"hs_correct_raven";6;2;4
"hs_cs_m_Log2";"hs_correct_raven";6;4;2
"hs_cu_m_Log2";"hs_correct_raven";6;3;3
"hs_hg_m_Log2";"hs_correct_raven";6;0;6
"hs_mn_m_Log2";"hs_correct_raven";6;5;1
"hs_mo_m_Log2";"hs_correct_raven";6;6;0
"hs_pb_m_Log2";"hs_correct_raven";6;5;1
"h_humidity_preg_None";"hs_correct_raven";6;6;0
"h_pressure_preg_None";"hs_correct_raven";6;0;6
"h_temperature_preg_None";"hs_correct_raven";6;5;1
"h_ndvi100_preg_None";"hs_correct_raven";6;5;1
"hs_dde_madj_Log2";"hs_correct_raven";6;0;6
"hs_ddt_madj_Log2";"hs_correct_raven";6;3;3
"hs_hcb_madj_Log2";"hs_correct_raven";6;5;1
"hs_pcb118_madj_Log2";"hs_correct_raven";6;1;5
"hs_pcb138_madj_Log2";"hs_correct_raven";6;6;0
"hs_pcb153_madj_Log2";"hs_correct_raven";6;0;6
"hs_pcb170_madj_Log2";"hs_correct_raven";6;5;1
"hs_pcb180_madj_Log2";"hs_correct_raven";6;6;0
"hs_sumPCBs5_madj_Log2";"hs_correct_raven";6;4;2
"hs_pfhxs_m_Log2";"hs_correct_raven";6;6;0
"hs_pfna_m_Log2";"hs_correct_raven";6;0;6
"hs_pfoa_m_Log2";"hs_correct_raven";6;6;0
"hs_pfos_m_Log2";"hs_correct_raven";6;3;3
"hs_pfunda_m_Log2";"hs_correct_raven";6;1;5
"e3_asmokcigd_p_None";"hs_correct_raven";6;0;6
"h_distinvnear1_preg_Log";"hs_correct_raven";6;3;3
"h_trafload_preg_pow1over3";"hs_correct_raven";6;1;5
"h_trafnear_preg_pow1over3";"hs_correct_raven";6;0;6
"h_bro_preg_Log";"hs_correct_raven";6;6;0
"h_clf_preg_Log";"hs_correct_raven";6;5;1
"h_thm_preg_Log";"hs_correct_raven";6;4;2
"e3_alcpreg_yn_None_1";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Often";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Sometimes";"hs_correct_raven";6;6;0
"h_pamod_t3_None_Very Often";"hs_correct_raven";6;6;0
"h_pavig_t3_None_Low";"hs_correct_raven";6;6;0
"h_pavig_t3_None_Medium";"hs_correct_raven";6;6;0
"h_abs_ratio_preg_Log";"hs_Gen_Tot";6;0;6
"h_no2_ratio_preg_Log";"hs_Gen_Tot";6;0;6
"h_pm10_ratio_preg_None";"hs_Gen_Tot";6;1;5
"h_pm25_ratio_preg_None";"hs_Gen_Tot";6;1;5
"h_accesslines300_preg_dic0";"hs_Gen_Tot";6;6;0
"h_accesspoints300_preg_Log";"hs_Gen_Tot";6;6;0
"h_builtdens300_preg_Sqrt";"hs_Gen_Tot";6;0;6
"h_connind300_preg_Sqrt";"hs_Gen_Tot";6;6;0
"h_fdensity300_preg_Log";"hs_Gen_Tot";6;2;4
"h_frichness300_preg_None";"hs_Gen_Tot";6;6;0
"h_landuseshan300_preg_None";"hs_Gen_Tot";6;6;0
"h_popdens_preg_Sqrt";"hs_Gen_Tot";6;6;0
"h_walkability_mean_preg_None";"hs_Gen_Tot";6;0;6
"hs_as_m_Log2";"hs_Gen_Tot";6;6;0
"hs_cd_m_Log2";"hs_Gen_Tot";6;6;0
"hs_co_m_Log2";"hs_Gen_Tot";6;4;2
"hs_cs_m_Log2";"hs_Gen_Tot";6;0;6
"hs_cu_m_Log2";"hs_Gen_Tot";6;1;5
"hs_hg_m_Log2";"hs_Gen_Tot";6;1;5
"hs_mn_m_Log2";"hs_Gen_Tot";6;0;6
"hs_mo_m_Log2";"hs_Gen_Tot";6;0;6
"hs_pb_m_Log2";"hs_Gen_Tot";6;0;6
"h_humidity_preg_None";"hs_Gen_Tot";6;6;0
"h_pressure_preg_None";"hs_Gen_Tot";6;1;5
"h_temperature_preg_None";"hs_Gen_Tot";6;1;5
"h_ndvi100_preg_None";"hs_Gen_Tot";6;5;1
"hs_dde_madj_Log2";"hs_Gen_Tot";6;3;3
"hs_ddt_madj_Log2";"hs_Gen_Tot";6;0;6
"hs_hcb_madj_Log2";"hs_Gen_Tot";6;1;5
"hs_pcb118_madj_Log2";"hs_Gen_Tot";6;6;0
"hs_pcb138_madj_Log2";"hs_Gen_Tot";6;0;6
"hs_pcb153_madj_Log2";"hs_Gen_Tot";6;1;5
"hs_pcb170_madj_Log2";"hs_Gen_Tot";6;4;2
"hs_pcb180_madj_Log2";"hs_Gen_Tot";6;1;5
"hs_sumPCBs5_madj_Log2";"hs_Gen_Tot";6;3;3
"hs_pfhxs_m_Log2";"hs_Gen_Tot";6;1;5
"hs_pfna_m_Log2";"hs_Gen_Tot";6;0;6
"hs_pfoa_m_Log2";"hs_Gen_Tot";6;0;6
"hs_pfos_m_Log2";"hs_Gen_Tot";6;0;6
"hs_pfunda_m_Log2";"hs_Gen_Tot";6;1;5
"e3_asmokcigd_p_None";"hs_Gen_Tot";6;6;0
"h_distinvnear1_preg_Log";"hs_Gen_Tot";6;1;5
"h_trafload_preg_pow1over3";"hs_Gen_Tot";6;5;1
"h_trafnear_preg_pow1over3";"hs_Gen_Tot";6;4;2
"h_bro_preg_Log";"hs_Gen_Tot";6;4;2
"h_clf_preg_Log";"hs_Gen_Tot";6;5;1
"h_thm_preg_Log";"hs_Gen_Tot";6;5;1
"e3_alcpreg_yn_None_1";"hs_Gen_Tot";6;2;4
"h_pamod_t3_None_Often";"hs_Gen_Tot";6;6;0
"h_pamod_t3_None_Sometimes";"hs_Gen_Tot";6;6;0
"h_pamod_t3_None_Very Often";"hs_Gen_Tot";6;6;0
"h_pavig_t3_None_Low";"hs_Gen_Tot";6;6;0
"h_pavig_t3_None_Medium";"hs_Gen_Tot";6;6;0
"h_abs_ratio_preg_Log";"hs_bmi_c_cat";6;2;4
"h_no2_ratio_preg_Log";"hs_bmi_c_cat";6;0;6
"h_pm10_ratio_preg_None";"hs_bmi_c_cat";6;6;0
"h_pm25_ratio_preg_None";"hs_bmi_c_cat";6;4;2
"h_accesslines300_preg_dic0";"hs_bmi_c_cat";6;0;6
"h_accesspoints300_preg_Log";"hs_bmi_c_cat";6;1;5
"h_builtdens300_preg_Sqrt";"hs_bmi_c_cat";6;2;4
"h_connind300_preg_Sqrt";"hs_bmi_c_cat";6;0;6
"h_fdensity300_preg_Log";"hs_bmi_c_cat";6;0;6
"h_frichness300_preg_None";"hs_bmi_c_cat";6;0;6
"h_landuseshan300_preg_None";"hs_bmi_c_cat";6;4;2
"h_popdens_preg_Sqrt";"hs_bmi_c_cat";6;6;0
"h_walkability_mean_preg_None";"hs_bmi_c_cat";6;0;6
"hs_as_m_Log2";"hs_bmi_c_cat";6;6;0
"hs_cd_m_Log2";"hs_bmi_c_cat";6;5;1
"hs_co_m_Log2";"hs_bmi_c_cat";6;6;0
"hs_cs_m_Log2";"hs_bmi_c_cat";6;6;0
"hs_cu_m_Log2";"hs_bmi_c_cat";6;0;6
"hs_hg_m_Log2";"hs_bmi_c_cat";6;2;4
"hs_mn_m_Log2";"hs_bmi_c_cat";6;3;3
"hs_mo_m_Log2";"hs_bmi_c_cat";6;3;3
"hs_pb_m_Log2";"hs_bmi_c_cat";6;6;0
"h_humidity_preg_None";"hs_bmi_c_cat";6;1;5
"h_pressure_preg_None";"hs_bmi_c_cat";6;2;4
"h_temperature_preg_None";"hs_bmi_c_cat";6;6;0
"h_ndvi100_preg_None";"hs_bmi_c_cat";6;1;5
"hs_dde_madj_Log2";"hs_bmi_c_cat";6;6;0
"hs_ddt_madj_Log2";"hs_bmi_c_cat";6;2;4
"hs_hcb_madj_Log2";"hs_bmi_c_cat";6;0;6
"hs_pcb118_madj_Log2";"hs_bmi_c_cat";6;1;5
"hs_pcb138_madj_Log2";"hs_bmi_c_cat";6;3;3
"hs_pcb153_madj_Log2";"hs_bmi_c_cat";6;4;2
"hs_pcb170_madj_Log2";"hs_bmi_c_cat";6;0;6
"hs_pcb180_madj_Log2";"hs_bmi_c_cat";6;0;6
"hs_sumPCBs5_madj_Log2";"hs_bmi_c_cat";6;0;6
"hs_pfhxs_m_Log2";"hs_bmi_c_cat";6;0;6
"hs_pfna_m_Log2";"hs_bmi_c_cat";6;6;0
"hs_pfoa_m_Log2";"hs_bmi_c_cat";6;6;0
"hs_pfos_m_Log2";"hs_bmi_c_cat";6;2;4
"hs_pfunda_m_Log2";"hs_bmi_c_cat";6;1;5
"e3_asmokcigd_p_None";"hs_bmi_c_cat";6;1;5
"h_distinvnear1_preg_Log";"hs_bmi_c_cat";6;5;1
"h_trafload_preg_pow1over3";"hs_bmi_c_cat";6;6;0
"h_trafnear_preg_pow1over3";"hs_bmi_c_cat";6;3;3
"h_bro_preg_Log";"hs_bmi_c_cat";6;0;6
"h_clf_preg_Log";"hs_bmi_c_cat";6;0;6
"h_thm_preg_Log";"hs_bmi_c_cat";6;0;6
"e3_alcpreg_yn_None_1";"hs_bmi_c_cat";6;0;6
"h_pamod_t3_None_Often";"hs_bmi_c_cat";6;0;6
"h_pamod_t3_None_Sometimes";"hs_bmi_c_cat";6;1;5
"h_pamod_t3_None_Very Often";"hs_bmi_c_cat";6;1;5
"h_pavig_t3_None_Low";"hs_bmi_c_cat";6;0;6
"h_pavig_t3_None_Medium";"hs_bmi_c_cat";6;1;5
