"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap"
"h_landuseshan300_preg_None";"e3_bw";0;0,00596938277957906;0,00586381112703509;0,00339734278126418;-0,000689286714835874;0,012628052273994;0,000536668640511272;0,0131954161823717;1,75707403224051;0,0789051912586443;FALSE;100
"h_popdens_preg_Sqrt";"e3_bw";0;0,00433402110996945;0,00508745823413405;0,00300534276280419;-0,00155634246632486;0,0102243846862638;-0,000930020003065443;0,0108075879447403;1,44210542757709;0,149272634149123;FALSE;100
"h_walkability_mean_preg_None";"e3_bw";0;-0,0078928875807807;-0,00835777942353517;0,00353259061973276;-0,0148166379675809;-0,000969137193980473;-0,0146676044459567;-0,00220638327674488;-2,23430576322422;0,0254629613930672;TRUE;100
"hs_as_m_Log2";"e3_bw";0;0,00350486079284698;0,00346230511569013;0,00304063157047915;-0,00245466757554761;0,00946438916124158;-0,00166627194936972;0,00858081571350911;1,15267526223004;0,249043698781114;FALSE;100
"hs_cd_m_Log2";"e3_bw";0;-0,000148263503660686;0,000756900521590882;0,00296377167291863;-0,00595714924098122;0,00566062223365985;-0,00467435843325908;0,00604841088842344;-0,050025278605447;0,960102244122993;FALSE;100
"hs_co_m_Log2";"e3_bw";0;0,00241648968757742;0,002402684900226;0,00289159638978;-0,00325093509421743;0,00808391446937226;-0,00361792782561183;0,00721527172631788;0,835693977250147;0,403327084357169;FALSE;100
"hs_cs_m_Log2";"e3_bw";0;-0,00746134710207207;-0,00743422379060866;0,00295958644886819;-0,0132620299509865;-0,00166066425315763;-0,0135207551937849;-0,00278711831674681;-2,52107760019156;0,0116996047671473;TRUE;100
"hs_cu_m_Log2";"e3_bw";0;-0,00356240013126369;-0,00303300992554755;0,00273011152204331;-0,00891332038824641;0,00178852012571903;-0,0082962792512936;0,00229883011448178;-1,30485516891906;0,191942169221908;FALSE;100
"hs_hg_m_Log2";"e3_bw";0;-0,00148222017304305;-0,00135165914628493;0,00335019300031064;-0,00804847779491008;0,00508403744882398;-0,00731288785865294;0,00494985217943884;-0,442428293804451;0,658179308493143;FALSE;100
"hs_mn_m_Log2";"e3_bw";0;-0,000716785968195892;-0,000513191678796727;0,00255921205968157;-0,00573274943397235;0,00429917749758056;-0,00467314556971169;0,00417406350717453;-0,280080724645021;0,779415572624876;FALSE;100
"hs_mo_m_Log2";"e3_bw";0;-0,00101715783246452;-0,00115267962510281;0,0024874748684048;-0,00589251898698644;0,00385820332205741;-0,00586695636896708;0,00320184562942231;-0,408911802641371;0,682604387162628;FALSE;100
"hs_pb_m_Log2";"e3_bw";0;-0,00187243276376255;-0,00215983831198576;0,00235456473581803;-0,00648729484523396;0,00274242931770887;-0,00589767396176188;0,00301677761415296;-0,795235202192059;0,426476698296862;FALSE;100
"h_humidity_preg_None";"e3_bw";0;0,0289120646915627;0,0295811380907368;0,00488247742063361;0,0193425847917908;0,0384815445913346;0,0198200311765545;0,0387961165659653;5,92159721402475;3,18829742512188e-09;TRUE;100
"h_pressure_preg_None";"e3_bw";0;-0,0256494606836371;-0,0251002878630791;0,00444099155461952;-0,0343536441863379;-0,0169452771809363;-0,0343278280582345;-0,0169866436071326;-5,77561573089607;7,66721778981537e-09;TRUE;100
"h_temperature_preg_None";"e3_bw";0;0,007105390971795;0,00622994220855859;0,00391677335807932;-0,000571343745646463;0,0147821256892365;-0,000601748758601273;0,013521654442633;1,81409295923094;0,0696634153537964;FALSE;100
"h_ndvi100_preg_None";"e3_bw";0;0,00620340449274342;0,00546068768442464;0,00381351888460236;-0,00127095517544057;0,0136777641609274;-0,00240854257278919;0,0145225374230871;1,6266877601657;0,103803429611761;FALSE;100
"hs_dde_madj_Log2";"e3_bw";0;-0,00591876520095733;-0,00556900106999367;0,00319495710617885;-0,0121807660612182;0,000343235659303536;-0,0111206172277387;-3,91928153503216e-05;-1,85253354090757;0,0639492457892811;FALSE;100
"hs_ddt_madj_Log2";"e3_bw";0;-0,00238195290734245;-0,00171011153534295;0,00251240309729497;-0,00730617249268747;0,00254226667800257;-0,0067438778098603;0,00329599202589073;-0,948077523828494;0,343089989553709;FALSE;100
"hs_hcb_madj_Log2";"e3_bw";0;-0,000233483569090508;-0,000775874651915038;0,00308793478705042;-0,00628572453831768;0,00581875740013667;-0,00652778060108023;0,00532200437491557;-0,0756115608625049;0,939728138558549;FALSE;100
"hs_pcb118_madj_Log2";"e3_bw";0;0,00113132284051624;0,000822389038146424;0,00382522064171792;-0,00636597185017007;0,00862861753120256;-0,0063890252824391;0,0076728620694218;0,295753616975193;0,767418247374869;FALSE;100
"hs_pcb138_madj_Log2";"e3_bw";0;-0,00415804314394605;-0,00373183975242954;0,0029809984480416;-0,0100006927400774;0,00168460645218528;-0,00872991591625346;0,0024823026464451;-1,39484914749879;0,163061334630301;FALSE;100
"hs_pcb153_madj_Log2";"e3_bw";0;-0,00622044577325751;-0,00583509430708734;0,00477161145174979;-0,015572632366906;0,00313174082039096;-0,0141604389527783;0,00333376274712286;-1,30363627385805;0,192357626703983;FALSE;100
"hs_pcb170_madj_Log2";"e3_bw";0;0,000882077794651543;0,00120121429881818;0,00419219647861491;-0,00733447631954931;0,00909863190885239;-0,00639628522923032;0,00923650994047082;0,210409459373188;0,833348110394111;FALSE;100
"hs_pcb180_madj_Log2";"e3_bw";0;0,00764590365149556;0,00583465237379654;0,00451965281118449;-0,00121245308105124;0,0165042603840424;-0,00341477904051076;0,0133458957336195;1,69170154675924;0,0907028933764121;FALSE;100
"hs_sumPCBs5_madj_Log2";"e3_bw";0;-0,00242211587682799;-0,00268492210121451;0,00450627223429129;-0,0112542471605717;0,00641001540691578;-0,0117472451791601;0,00523154794017926;-0,537498790773549;0,590923119975791;FALSE;100
"hs_pfhxs_m_Log2";"e3_bw";0;0,0102248561051466;0,00936273885945991;0,00343372394974477;0,00349488083079426;0,016954831379499;0,00318860918061927;0,0155139582078759;2,97777464199085;0,0029034938348112;TRUE;100
"hs_pfna_m_Log2";"e3_bw";0;-0,00583085948917706;-0,00584334397549569;0,00395396500340664;-0,0135804884919859;0,00191876951363174;-0,013655501761787;0,00240867496809612;-1,47468667126627;0,140296801136519;FALSE;100
"hs_pfoa_m_Log2";"e3_bw";0;-0,000616228074538953;-0,00097105576899239;0,00370817575669634;-0,00788411900600834;0,00665166285693043;-0,00792652794051586;0,00637753063284265;-0,166180924252619;0,868014570950276;FALSE;100
"hs_pfos_m_Log2";"e3_bw";0;-0,00627806576443842;-0,00616193091857516;0,0036027555295198;-0,0133393368473997;0,000783205318522912;-0,0126484152115857;0,000871413270862471;-1,74257334781614;0,0814081689223845;FALSE;100
"hs_pfunda_m_Log2";"e3_bw";0;-0,00157703942516618;-0,00200166874370288;0,00322751760719384;-0,00790285769473499;0,00474877884440263;-0,00866278645509216;0,00344762928406671;-0,488623027695064;0,62510860698628;FALSE;100
"e3_asmokcigd_p_None";"e3_bw";0;-0,00499139887395577;-0,0048934323056334;0,00303552132200565;-0,0109409113393902;0,000958113591478714;-0,010961914512222;0,000746763301576917;-1,64433003246303;0,10010804902198;FALSE;100
"h_distinvnear1_preg_Log";"e3_bw";0;0,000724078874480601;0,000442568567992275;0,00290650793651197;-0,00497257200186269;0,00642072975082389;-0,00449761074557672;0,00542357279013166;0,249123308897464;0,80326539984504;FALSE;100
"h_trafload_preg_pow1over3";"e3_bw";0;-0,00246614900582678;-0,00202990352106908;0,00256905657643823;-0,00750140736989148;0,00256910935823793;-0,00670535718466079;0,00257174792675155;-0,959943439332845;0,337083682050147;FALSE;100
"h_trafnear_preg_pow1over3";"e3_bw";0;-0,00446194507192012;-0,00441789006147024;0,00362942682028762;-0,0115754909242076;0,00265160078036735;-0,0113546032133874;0,0025141021753507;-1,22938009026079;0,218929331478883;FALSE;100
"h_bro_preg_Log";"e3_bw";0;0,0103008999400962;0,0106074886661399;0,00488327978587177;0,000729847433355049;0,0198719524468373;0,00174947888333423;0,0205870122023652;2,10942243569549;0,0349081346045974;TRUE;100
"h_clf_preg_Log";"e3_bw";0;0,00272638328113789;0,00287427370190858;0,00387573265856969;-0,00486991314336437;0,0103226797056401;-0,00504172799823224;0,0117584570647478;0,703449778743006;0,481775493943564;FALSE;100
"h_thm_preg_Log";"e3_bw";0;0,00450309673141351;0,00474946895733243;0,00376095763097437;-0,00286824477267733;0,0118744382355044;-0,00211298966602824;0,0109427961507667;1,19732716325413;0,231179060963617;FALSE;100
"e3_alcpreg_yn_None_1";"e3_bw";0;0,0126928609837396;0,0134947822135354;0,00550261668382638;0,00190793046271072;0,0234777915047686;0,00348548386839542;0,0253765200455017;2,30669547109237;0,0210718029142503;TRUE;100
"h_pamod_t3_None_Often";"e3_bw";0;0,0984716493481118;0,0957915598604774;0,0104750877013961;0,0779408547184769;0,119002443977747;0,0746134771241406;0,112790160225008;9,40055607696605;5,42754573265673e-21;TRUE;100
"h_pamod_t3_None_Sometimes";"e3_bw";0;0,0839153996062274;0,0809509509031643;0,0115693445459787;0,0612399009713743;0,106590898241081;0,057706614704881;0,101270642222574;7,25325443223965;4,06874730308099e-13;TRUE;100
"h_pamod_t3_None_Very Often";"e3_bw";0;0,0906220620499466;0,0877047753200182;0,00921312713505945;0,0725646646802414;0,108679459419652;0,0709764346764116;0,105859457135008;9,83618924622187;7,8633010884757e-23;TRUE;100
"h_pavig_t3_None_Low";"e3_bw";0;0,102363457530571;0,100958700011206;0,00902639450229404;0,0846720493958241;0,120054865665317;0,0827187371738715;0,119412777501114;11,3404590841399;8,27094281329465e-30;TRUE;100
"h_pavig_t3_None_Medium";"e3_bw";0;0,0976215538207745;0,0959961406563518;0,00926557347102534;0,0794613635214551;0,115781744120094;0,0791584455478822;0,115426482886211;10,5359429857256;5,89890713560999e-26;TRUE;100
"hs_no2_dy_hs_h_Log";"e3_bw";0;0,00690781138828009;0,00752340718019739;0,00464733797740282;-0,00220080367141466;0,0160164264479748;-0,000834931465940682;0,0173117039739512;1,48640176846801;0,137172882336249;FALSE;100
"hs_no2_wk_hs_h_Log";"e3_bw";0;0,00580253854087999;0,00650175807333056;0,00399596760594553;-0,00202941405016199;0,013634491131922;-0,00111560896786769;0,0141739294761653;1,45209849355298;0,146474220765981;FALSE;100
"hs_no2_yr_hs_h_Log";"e3_bw";0;0,0213296712327829;0,0209854995201044;0,0041918558121065;0,0131137848126693;0,0295455576528966;0,0138014449072503;0,0277616248621112;5,08835995054522;3,61173356690165e-07;TRUE;100
"hs_pm10_dy_hs_h_None";"e3_bw";0;-0,00246366574309116;-0,00172936558263387;0,00393663057761825;-0,010179319895662;0,00525198840947972;-0,00840217299327956;0,00545921149103199;-0,625831074192826;0,531425747571303;FALSE;100
"hs_pm10_wk_hs_h_None";"e3_bw";0;-0,00595763774264917;-0,00600723790445333;0,00421796653787288;-0,0142247002448751;0,00230942475957678;-0,0132162619423096;0,00159076595062384;-1,41244310241816;0,157819532740792;FALSE;100
"hs_pm10_yr_hs_h_None";"e3_bw";0;0,00157411391598223;0,00131552735167791;0,00426816989516247;-0,00679134535843432;0,00993957319039877;-0,00751345352562673;0,00783912968289457;0,368803012683802;0,712274558939211;FALSE;100
"hs_pm25_dy_hs_h_None";"e3_bw";0;0,00314135921224056;0,00337476124258948;0,00377413640662553;-0,0042558122174869;0,010538530641968;-0,00434229472854469;0,00930916450254165;0,832338546833091;0,405217878638177;FALSE;100
"hs_pm25_wk_hs_h_None";"e3_bw";0;-0,00452703749595883;-0,00509187228770435;0,00444961410906274;-0,0132481208948231;0,00419404590290541;-0,0133575120209951;0,00334810915730695;-1,01740002278813;0,308963171186275;FALSE;100
"hs_pm25_yr_hs_h_None";"e3_bw";0;0,0154606365088081;0,016430828462043;0,00495923668993566;0,00574071120572457;0,0251805618118916;0,00728095981536679;0,0272225473853879;3,11754358088698;0,00182364982094877;TRUE;100
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0;0,000271916116944556;-0,000471045563835397;0,00381620390313697;-0,00720770609086507;0,00775153832475419;-0,0075065674032717;0,00651982754180011;0,0712530367470768;0,943196371422939;FALSE;100
"hs_pm25abs_wk_hs_h_Log";"e3_bw";0;-0,0103354614259337;-0,0101711258034773;0,00374451226478451;-0,0176745706045798;-0,00299635224728751;-0,0177718041946471;-0,00354867681917285;-2,7601622574812;0,00577726598837013;TRUE;100
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0;-0,00677628656207663;-0,00598230065835549;0,00393485361844908;-0,0144884579386739;0,000935884814520673;-0,0132576104694367;0,00082841281045698;-1,72211909746912;0,0850479462753421;FALSE;100
"hs_accesslines300_h_dic0";"e3_bw";0;-0,00770626051006148;-0,00811707359349823;0,0125463705415275;-0,0322966949081498;0,0168841738880268;-0,0323451286013337;0,0153165939917084;-0,614222295169295;0,539068442422835;FALSE;100
"hs_accesspoints300_h_Log";"e3_bw";0;-0,00822494669297763;-0,00749072136266777;0,00430668592049586;-0,0166658959898753;0,000216002603919989;-0,0149896861282116;0,00125429819691403;-1,90980880538199;0,056157835140721;FALSE;100
"hs_builtdens300_h_Sqrt";"e3_bw";0;-0,000843549168723524;-0,000914537467541512;0,00315099676421579;-0,00701938934198872;0,00533229100454168;-0,00647291375633367;0,00554338351853127;-0,267708675014607;0,788923571783754;FALSE;100
"hs_connind300_h_Log";"e3_bw";0;0,00522880576341597;0,00514291702112798;0,00337270677424121;-0,00138157804451107;0,011839189571343;-0,00130582375000204;0,0116738906377611;1,55032919059272;0,121062524491645;FALSE;100
"hs_fdensity300_h_Log";"e3_bw";0;0,00895589515746732;0,00868132799651189;0,00405700327186212;0,0010043148594564;0,0169074754554782;0,000563222412649712;0,0153070089306381;2,20751489642173;0,0272781074497148;TRUE;100
"hs_landuseshan300_h_None";"e3_bw";0;0,000882186625792774;0,000546347624876479;0,00323626393014147;-0,00546077412175055;0,0072251473733361;-0,00638166817240832;0,00592755734323079;0,272594153269264;0,785165206809504;FALSE;100
"hs_popdens_h_Sqrt";"e3_bw";0;-0,00497456689245942;-0,00436383674491368;0,00371533765059346;-0,0122564948780283;0,00230736109310942;-0,0112909996300284;0,00331580924001655;-1,33892726860635;0,180594351465251;FALSE;100
"hs_walkability_mean_h_None";"e3_bw";0;-0,00437466169273544;-0,00453620330219754;0,00353288488252588;-0,0112989888240122;0,00254966543854131;-0,0109643337271446;0,00289539581506595;-1,23826896097665;0,215616348784428;FALSE;100
"hs_accesslines300_s_dic0";"e3_bw";0;0,00841866773861718;0,00749108712122858;0,0118196170086668;-0,0147473559094268;0,0315846913866612;-0,0158911087065473;0,0252953945906076;0,712262312090496;0,47630235721308;FALSE;100
"hs_accesspoints300_s_Log";"e3_bw";0;0,00398584652520386;0,00395649439156826;0,0035044336322576;-0,00288271718023193;0,0108544102306396;-0,00372162481966096;0,00989366347497973;1,13737252391226;0,255382588387052;FALSE;100
"hs_builtdens300_s_Sqrt";"e3_bw";0;-0,00286234047319003;-0,00297578035034654;0,00312852542462068;-0,00899413763016445;0,00326945668378438;-0,00883130896319414;0,00304170955215105;-0,914916800951707;0,360235309244083;FALSE;100
"hs_connind300_s_Log";"e3_bw";0;0,000389905639885548;0,000110126604638339;0,00318793649584875;-0,00585833507697883;0,00663814635674993;-0,00523630044453658;0,00586082576856516;0,122306589354359;0,902656213629844;FALSE;100
"hs_fdensity300_s_Log";"e3_bw";0;0,00635641807145029;0,00609314059765553;0,00345274561782932;-0,00041083898727368;0,0131236751301743;-0,000591395573917636;0,0125429116273691;1,84097491533316;0,0656252347871804;FALSE;100
"hs_landuseshan300_s_None";"e3_bw";0;0,000401307706254614;0,000731274120133259;0,00311704291440908;-0,00570798414425294;0,00651059955676217;-0,00546196277002659;0,00663513355064386;0,128746288477293;0,897558407267202;FALSE;100
"hs_popdens_s_Sqrt";"e3_bw";0;0,000385192510135015;0,000118093407679543;0,00283720180794152;-0,0051756208503023;0,00594600587057233;-0,0058168398439563;0,00547667800939649;0,135764931862384;0,892007114637638;FALSE;100
"h_Absorbance_Log";"e3_bw";0;0,00367119219408212;0,00264024236527773;0,00348262668738044;-0,00315463068478158;0,0104970150729458;-0,0044501017869193;0,00814883265254963;1,05414462232916;0,291816709210293;FALSE;100
"h_Benzene_Log";"e3_bw";0;-0,00189437671907013;-0,00283911172573742;0,00303056903604124;-0,00783418288237322;0,00404542944423296;-0,00883962528470191;0,00227792803769463;-0,625089445757919;0,531912354525262;FALSE;100
"h_NO2_Log";"e3_bw";0;0,0112535670430749;0,0111345232649603;0,00294169262038143;0,00548795545354;0,0170191786326097;0,00579104317849691;0,0156789917989887;3,8255414468204;0,00013048497778451;TRUE;100
"h_PM_Log";"e3_bw";0;0,00394000642926944;0,00407459921939228;0,00315507660945678;-0,00224383009373059;0,0101238429522695;-0,00204646749514136;0,0102878480286394;1,24878312541127;0,211744407536439;FALSE;100
"h_TEX_Log";"e3_bw";0;-0,00115413014434864;-0,000626629736002544;0,00270635922561802;-0,00645849675578767;0,00415023646709039;-0,00593176800827348;0,00503160627552357;-0,426451201830047;0,66977909874421;FALSE;100
"hs_KIDMED_None";"e3_bw";0;0,000947331505559446;0,00159363297531011;0,00277607548319693;-0,00449367645987116;0,00638833947099005;-0,00404524386386412;0,0068589261972722;0,341248467951779;0,732916538530796;FALSE;100
"hs_mvpa_prd_alt_None";"e3_bw";0;-0,00153563338994685;-0,000998292107518609;0,00348004079307537;-0,00835638800910477;0,00528512122921107;-0,00676440592581511;0,00578867068040928;-0,441268790010299;0,6590184177865;FALSE;100
"hs_sd_wk_None";"e3_bw";0;-0,00214006717626819;-0,00210674922913357;0,00319846177730471;-0,0084089370657134;0,00412880271317702;-0,00743140475145338;0,00413528504405992;-0,669092621788836;0,503436396242362;FALSE;100
"hs_dif_hours_total_None";"e3_bw";0;-0,00436943465955023;-0,00333510311181197;0,00250555970897057;-0,0092802414502472;0,000541372131146745;-0,00825876288819785;0,00129059370971313;-1,74389564292022;0,0811772885370632;FALSE;100
"hs_as_c_Log2";"e3_bw";0;0,00270691111508192;0,00233246034313932;0,00345886382448828;-0,00407233740834357;0,00948615963850742;-0,00328478034245985;0,00839251955086326;0,782601239146036;0,433861313607911;FALSE;100
"hs_cd_c_Log2";"e3_bw";0;0,0002069639269416;0,000107055770730051;0,00221606617022149;-0,00413644595405013;0,00455037380793333;-0,0039611343477863;0,00416928706345449;0,0933924851715573;0,925591760390621;FALSE;100
"hs_co_c_Log2";"e3_bw";0;-0,0015686052628932;-0,00123247703137584;0,00270755454781031;-0,00687531466277904;0,00373810413699264;-0,00685968256756843;0,004212051651261;-0,579343919095474;0,562357136600267;FALSE;100
"hs_cs_c_Log2";"e3_bw";0;-0,00278388516838669;-0,00281207536564467;0,0034470281154162;-0,00953993612829941;0,00397216579152603;-0,00841886381328402;0,00297530195161482;-0,807618932940024;0,419309984204605;FALSE;100
"hs_cu_c_Log2";"e3_bw";0;-0,00146253157946202;-0,00142288009471284;0,00269746838507438;-0,00674947246364322;0,00382440930471918;-0,00623596168184868;0,00388397846840923;-0,542186736109492;0,587689871714086;FALSE;100
"hs_hg_c_Log2";"e3_bw";0;-0,00832014561757866;-0,00752645917829423;0,00338551727475843;-0,0149556375451434;-0,00168465369001395;-0,0136347623881678;-0,00124889593662537;-2,45756997892511;0,0139880555413398;TRUE;100
"hs_mn_c_Log2";"e3_bw";0;-0,0024236600080727;-0,00291522859710701;0,00221739480828382;-0,00676967397181509;0,00192235395566969;-0,00686714563130855;0,0020402770967067;-1,09302141369607;0,274384397929349;FALSE;100
"hs_mo_c_Log2";"e3_bw";0;-0,00575729114003714;-0,00572788706031408;0,00243645200907608;-0,0105326493278865;-0,000981932952187762;-0,0099878701198214;-0,00170448486648;-2,36298154800116;0,0181285721964639;TRUE;100
"hs_pb_c_Log2";"e3_bw";0;0,00105752527804961;0,00121033410872601;0,00277008820469711;-0,00437174783715594;0,00648679839325515;-0,00385309261085758;0,0063586586637538;0,381765922202915;0,702634997807597;FALSE;100
"hs_hum_mt_hs_h_None";"e3_bw";0;-0,0159318712892931;-0,0160198107055178;0,00445530913112363;-0,0246641167262879;-0,00719962585229834;-0,024872791202226;-0,00886605390295042;-3,57592948556525;0,000348985718127269;TRUE;100
"hs_tm_mt_hs_h_None";"e3_bw";0;0,00895647556345136;0,00828603082232506;0,00386427545016048;0,0013826348547945;0,0165303162721082;-9,05882297724928e-06;0,0150314157607117;2,31776323374655;0,0204621922864393;TRUE;100
"hs_uvdvf_mt_hs_h_None";"e3_bw";0;-0,00845526681649874;-0,00863747618132055;0,00454506041055002;-0,0173634215287356;0,000452887895738118;-0,0170583027639216;0,000831200379771172;-1,86032000738039;0,0628402645377282;FALSE;100
"hs_hum_dy_hs_h_None";"e3_bw";0;-0,00760070077014947;-0,00765616238863931;0,00347992161473664;-0,0144212218040558;-0,000780179736243183;-0,0141295825910839;-0,0012508109396847;-2,18415861379242;0,028950594873327;TRUE;100
"hs_hum_wk_hs_h_None";"e3_bw";0;-0,0149010328981418;-0,0153043838755006;0,00365834942480399;-0,0220712660136204;-0,00773079978266312;-0,0218509984375154;-0,0085524923756132;-4,07315736356708;4,63800642176257e-05;TRUE;100
"hs_tm_dy_hs_h_None";"e3_bw";0;0,000506468813622956;0,000978153186152424;0,00442329792679434;-0,00816303581578464;0,00917597344303055;-0,00624481061669716;0,00939780830643595;0,114500271517999;0,90884123117481;FALSE;100
"hs_tm_wk_hs_h_None";"e3_bw";0;0,00331325470945538;0,00351215080868231;0,00399299322438672;-0,00451286820085505;0,0111393776197658;-0,00426471699312672;0,0106826501704306;0,829767175466285;0,406670432796701;FALSE;100
"hs_uvdvf_dy_hs_h_None";"e3_bw";0;3,74980411199251e-07;1,45640881562482e-05;0,00408993704048879;-0,00801575431798316;0,00801650427880555;-0,00672819704900864;0,00839199019111356;9,16836634615866e-05;0,999926847020549;FALSE;100
"hs_uvdvf_wk_hs_h_None";"e3_bw";0;-0,0158883104733346;-0,0153707645679827;0,004367970582035;-0,0244493754996537;-0,0073272454470156;-0,0235642014124175;-0,00612357307673051;-3,63745821427498;0,000275341843996163;TRUE;100
"hs_ndvi100_h_None";"e3_bw";0;0,00463873648654391;0,00581047889763425;0,00356441706765072;-0,00234739259193137;0,0116248655650192;-4,78586407653405e-05;0,0132600732926538;1,30140115438322;0,193121178722469;FALSE;100
"hs_ndvi100_s_None";"e3_bw";0;0,00772186042787092;0,00810201878852888;0,00399631069868242;-0,000110764612578721;0,0155544854683206;-0,000294956407730638;0,0150264118457445;1,93224726756526;0,0533289936113451;FALSE;100
"hs_dde_cadj_Log2";"e3_bw";0;-0,00299290923091772;-0,00293356586036762;0,00348476821709697;-0,00982292943089764;0,00383711096906221;-0,0107229229904489;0,00265442431227945;-0,858854605087909;0,390420736912399;FALSE;100
"hs_ddt_cadj_Log2";"e3_bw";0;-0,00548884962698126;-0,00499653750516894;0,00285654416904749;-0,0110875733185622;0,000109874064599707;-0,0103651637541415;0,000182628537390815;-1,92150000215523;0,0546687020974259;FALSE;100
"hs_hcb_cadj_Log2";"e3_bw";0;-0,00309511693746773;-0,00549468350997669;0,004662711033894;-0,0122338626342175;0,00604362875928203;-0,0159702294547964;0,00035707047195168;-0,663802005950792;0,506817041657887;FALSE;100
"hs_pcb118_cadj_Log2";"e3_bw";0;0,00120158037472464;0,00119231564380613;0,00343079899445849;-0,00552266209261023;0,00792582284205951;-0,00690741192906495;0,00711211073511957;0,350233393639633;0,726163547383659;FALSE;100
"hs_pcb138_cadj_Log2";"e3_bw";0;-0,000296485192941339;-0,00098666696789804;0,0050929404076767;-0,0102784649673964;0,00968549458151373;-0,0115626322029251;0,00829132144017338;-0,0582149346366669;0,953577424777418;FALSE;100
"hs_pcb153_cadj_Log2";"e3_bw";0;0,000854406872900315;0,00105255995794114;0,00451767326321007;-0,00800007001691095;0,00970888376271158;-0,00809724706625773;0,00846031388556791;0,189125424332527;0,849994515323978;FALSE;100
"hs_pcb170_cadj_Log2";"e3_bw";0;-0,00794612997779207;-0,00865178644208349;0,00338845839457711;-0,0145873863942756;-0,00130487356130852;-0,014945953376694;-0,00283209353906745;-2,34505756083919;0,0190241423568797;TRUE;100
"hs_pcb180_cadj_Log2";"e3_bw";0;-0,00163634773275696;-0,000616451231330135;0,00390141622732689;-0,00928298302701781;0,00601028756150388;-0,007605264077945;0,00600538575723243;-0,419424034097005;0,674906262259307;FALSE;100
"hs_sumPCBs5_cadj_Log2";"e3_bw";0;-0,0114101536109852;-0,0105145059198606;0,00441977148057322;-0,020072746532806;-0,00274756068916441;-0,0189104976814543;-0,00290371726692938;-2,58161619014415;0,00983388825358145;TRUE;100
"hs_pfhxs_c_Log2";"e3_bw";0;0,00830217497628965;0,00773885653047307;0,00316245378738665;0,00210387945023952;0,0145004705023398;0,00291651058739746;0,0141231174591311;2,62523203007823;0,00865899373825077;TRUE;100
"hs_pfna_c_Log2";"e3_bw";0;-0,00555945303976798;-0,00579796834915792;0,0033440821906647;-0,0121137336948126;0,000994827615276634;-0,0127784345013101;0,000577229444798288;-1,66247499995296;0,0964175719428666;FALSE;100
